order_id,account_id,contact_id,order_date,status,total_amount
ORD0000076,ACC008106,CON008106,2024-11-16,Delivered,8538.04
ORD0000077,ACC005019,CON005019,2026-06-10,Shipped,7373.2
ORD0000078,ACC006643,CON006643,2025-10-12,Shipped,26589.07
ORD0000079,ACC003030,CON003030,2024-09-04,Shipped,11294.77
ORD0000080,ACC006913,CON006913,2025-02-02,Delivered,5654.02
ORD0000081,ACC000392,CON000392,2023-09-24,Cancelled,17536.92
ORD0000082,ACC009065,CON009065,2025-10-09,Shipped,11417.11
ORD0000083,ACC004487,CON004487,2025-03-04,Processing,8686.630000000001
ORD0000084,ACC002554,CON002554,2024-07-07,Shipped,17134.989999999998
ORD0000085,ACC002171,CON002171,2025-03-22,Delivered,1336.64
ORD0000086,ACC008796,CON008796,2025-05-30,Shipped,7159.4800000000005
ORD0000087,ACC000759,CON000759,2025-08-11,Delivered,8353.62
ORD0000088,ACC000933,CON000933,2025-07-13,Delivered,15365.749999999998
ORD0000089,ACC002306,CON002306,2025-05-16,Delivered,1103.65
ORD0000090,ACC001183,CON001183,2024-08-21,Processing,12970.67
ORD0000091,ACC004753,CON004753,2025-11-19,Processing,4766.1900000000005
ORD0000092,ACC004405,CON004405,2025-07-31,Delivered,5643.650000000001
ORD0000093,ACC005871,CON005871,2023-08-21,Delivered,8099.0
ORD0000094,ACC004959,CON004959,2023-09-18,Delivered,6689.150000000001
ORD0000095,ACC001317,CON001317,2025-06-19,Shipped,6840.64
ORD0000096,ACC009536,CON009536,2024-10-05,Processing,16449.36
ORD0000097,ACC000962,CON000962,2024-09-28,Delivered,14888.71
ORD0000098,ACC009324,CON009324,2024-07-26,Cancelled,7031.700000000001
ORD0000099,ACC003948,CON003948,2024-10-23,Delivered,12433.36
ORD0000100,ACC008151,CON008151,2026-05-10,Delivered,19204.22
ORD0000101,ACC003015,CON003015,2025-04-22,Delivered,15353.289999999999
ORD0000102,ACC000898,CON000898,2024-11-04,Delivered,17591.52
ORD0000103,ACC002902,CON002902,2026-03-17,Shipped,16167.0
ORD0000104,ACC005953,CON005953,2025-08-30,Cancelled,6675.92
ORD0000105,ACC002816,CON002816,2026-05-19,Shipped,11454.630000000001
ORD0000106,ACC000111,CON000111,2024-03-24,Processing,5317.4
ORD0000107,ACC000247,CON000247,2024-01-03,Delivered,13849.36
ORD0000108,ACC003484,CON003484,2023-11-30,Delivered,14648.51
ORD0000109,ACC004456,CON004456,2024-06-13,Cancelled,21126.68
ORD0000110,ACC007303,CON007303,2024-01-23,Cancelled,10709.17
ORD0000111,ACC001827,CON001827,2025-09-18,Cancelled,12909.24
ORD0000112,ACC001518,CON001518,2026-01-25,Cancelled,4054.8599999999997
ORD0000113,ACC008064,CON008064,2024-04-19,Cancelled,6515.25
ORD0000114,ACC004000,CON004000,2026-01-01,Processing,512.8
ORD0000115,ACC006188,CON006188,2025-10-24,Shipped,6371.79
ORD0000116,ACC000248,CON000248,2025-07-24,Delivered,11673.470000000001
ORD0000117,ACC001450,CON001450,2026-03-25,Delivered,2118.9
ORD0000118,ACC001116,CON001116,2025-09-11,Cancelled,1834.71
ORD0000119,ACC000111,CON000111,2025-10-29,Delivered,23991.9
ORD0000120,ACC000607,CON000607,2026-04-02,Shipped,24829.050000000003
ORD0000121,ACC004183,CON004183,2025-01-16,Cancelled,12764.04
ORD0000122,ACC002742,CON002742,2024-10-28,Delivered,15219.050000000001
ORD0000123,ACC001031,CON001031,2025-11-06,Processing,7321.24
ORD0000124,ACC008155,CON008155,2023-09-17,Shipped,3332.2799999999997
ORD0000125,ACC002927,CON002927,2025-02-09,Processing,2134.7799999999997
ORD0000126,ACC001770,CON001770,2025-01-29,Processing,11956.240000000002
ORD0000127,ACC005784,CON005784,2023-12-24,Delivered,12401.68
ORD0000128,ACC000916,CON000916,2023-09-08,Shipped,18235.88
ORD0000129,ACC007695,CON007695,2025-09-26,Shipped,17785.21
ORD0000130,ACC003585,CON003585,2023-08-25,Processing,2625.04
ORD0000131,ACC008485,CON008485,2024-01-24,Processing,14284.32
ORD0000132,ACC000666,CON000666,2024-08-02,Processing,2017.1999999999998
ORD0000133,ACC000462,CON000462,2025-09-05,Delivered,9391.35
ORD0000134,ACC007522,CON007522,2025-12-19,Cancelled,4336.1
ORD0000135,ACC008976,CON008976,2024-06-18,Processing,6595.49
ORD0000136,ACC006391,CON006391,2024-02-14,Cancelled,649.1
ORD0000137,ACC002835,CON002835,2025-07-04,Processing,10690.19
ORD0000138,ACC008459,CON008459,2025-06-12,Delivered,6174.88
ORD0000139,ACC003957,CON003957,2025-05-09,Shipped,5088.97
ORD0000140,ACC006715,CON006715,2024-11-04,Processing,8111.150000000001
ORD0000141,ACC000345,CON000345,2025-05-15,Cancelled,16481.31
ORD0000142,ACC009778,CON009778,2025-03-15,Processing,6651.28
ORD0000143,ACC001816,CON001816,2025-02-25,Processing,2739.15
ORD0000144,ACC001890,CON001890,2024-10-08,Processing,6698.55
ORD0000145,ACC002011,CON002011,2024-11-07,Cancelled,205.26
ORD0000146,ACC005285,CON005285,2026-02-10,Delivered,9911.26
ORD0000147,ACC001697,CON001697,2023-08-04,Cancelled,6335.889999999999
ORD0000148,ACC001605,CON001605,2026-04-03,Delivered,459.03
ORD0000149,ACC006996,CON006996,2023-06-18,Shipped,4478.08
ORD0000150,ACC002655,CON002655,2024-12-11,Delivered,1814.45
ORD0000151,ACC007955,CON007955,2023-09-30,Shipped,7337.48
ORD0000152,ACC009909,CON009909,2026-05-11,Processing,5280.69
ORD0000153,ACC005618,CON005618,2026-01-29,Shipped,8430.76
ORD0000154,ACC008282,CON008282,2023-12-29,Cancelled,8996.91
ORD0000155,ACC006258,CON006258,2023-10-05,Cancelled,11778.57
ORD0000156,ACC007742,CON007742,2025-11-10,Shipped,17592.67
ORD0000157,ACC009330,CON009330,2023-08-31,Delivered,7976.45
ORD0000158,ACC006900,CON006900,2024-12-23,Cancelled,5656.5599999999995
ORD0000159,ACC000140,CON000140,2023-09-12,Cancelled,25042.440000000002
ORD0000160,ACC006675,CON006675,2026-05-26,Delivered,13351.76
ORD0000161,ACC000383,CON000383,2025-03-31,Shipped,5469.2300000000005
ORD0000162,ACC005783,CON005783,2026-03-10,Delivered,6633.889999999999
ORD0000163,ACC003387,CON003387,2024-07-21,Delivered,23162.71
ORD0000164,ACC003538,CON003538,2024-09-25,Delivered,20653.77
ORD0000165,ACC004031,CON004031,2024-10-25,Delivered,15950.02
ORD0000166,ACC006318,CON006318,2023-10-23,Delivered,13493.45
ORD0000167,ACC003015,CON003015,2024-12-30,Cancelled,2167.64
ORD0000168,ACC004451,CON004451,2023-12-11,Delivered,15355.76
ORD0000169,ACC008688,CON008688,2026-04-30,Processing,6148.040000000001
ORD0000170,ACC000967,CON000967,2023-12-22,Processing,1099.44
ORD0000171,ACC002476,CON002476,2023-11-17,Shipped,1028.83
ORD0000172,ACC007663,CON007663,2023-08-22,Delivered,4463.79
ORD0000173,ACC000187,CON000187,2024-02-06,Shipped,9256.43
ORD0000174,ACC008252,CON008252,2023-09-22,Shipped,8799.36
ORD0000175,ACC005461,CON005461,2025-10-03,Processing,9875.16
ORD0000176,ACC006173,CON006173,2024-01-13,Delivered,24722.75
ORD0000177,ACC002469,CON002469,2025-07-15,Cancelled,8872.72
ORD0000178,ACC002187,CON002187,2026-06-06,Cancelled,2595.8
ORD0000179,ACC004746,CON004746,2024-05-02,Processing,10167.35
ORD0000180,ACC009319,CON009319,2023-10-09,Delivered,1259.84
ORD0000181,ACC001719,CON001719,2024-12-05,Delivered,20179.11
ORD0000182,ACC003355,CON003355,2025-07-13,Delivered,3538.8599999999997
ORD0000183,ACC006415,CON006415,2025-09-08,Shipped,11741.96
ORD0000184,ACC008176,CON008176,2026-01-14,Delivered,13405.64
ORD0000185,ACC003772,CON003772,2025-09-16,Shipped,4997.35
ORD0000186,ACC008165,CON008165,2024-11-14,Delivered,2696.35
ORD0000187,ACC001577,CON001577,2024-09-11,Delivered,2487.82
ORD0000188,ACC003119,CON003119,2023-12-15,Delivered,3175.42
ORD0000189,ACC009707,CON009707,2026-05-20,Cancelled,14037.060000000001
ORD0000190,ACC004605,CON004605,2026-05-15,Processing,7827.34
ORD0000191,ACC000891,CON000891,2024-08-04,Processing,2371.84
ORD0000192,ACC000088,CON000088,2024-06-05,Delivered,10269.539999999999
ORD0000193,ACC001294,CON001294,2024-02-18,Shipped,30914.07
ORD0000194,ACC007556,CON007556,2025-12-12,Processing,2736.24
ORD0000195,ACC000291,CON000291,2026-01-15,Shipped,17279.67
ORD0000196,ACC008483,CON008483,2026-05-28,Processing,17426.73
ORD0000197,ACC002430,CON002430,2025-02-18,Delivered,6438.88
ORD0000198,ACC006151,CON006151,2026-05-19,Delivered,1996.92
ORD0000199,ACC007423,CON007423,2025-11-22,Cancelled,5223.87
ORD0000200,ACC003567,CON003567,2025-07-27,Cancelled,3703.48
ORD0000201,ACC007550,CON007550,2026-01-23,Delivered,5021.6900000000005
ORD0000202,ACC004143,CON004143,2025-02-05,Shipped,10577.369999999999
ORD0000203,ACC001480,CON001480,2023-12-17,Processing,5793.08
ORD0000204,ACC002117,CON002117,2024-01-10,Cancelled,7717.700000000001
ORD0000205,ACC009963,CON009963,2025-10-09,Shipped,424.5
ORD0000206,ACC008384,CON008384,2024-05-13,Delivered,7503.56
ORD0000207,ACC000172,CON000172,2024-08-09,Shipped,21898.14
ORD0000208,ACC000941,CON000941,2024-09-03,Processing,5009.47
ORD0000209,ACC005723,CON005723,2026-02-20,Shipped,3194.14
ORD0000210,ACC008835,CON008835,2025-01-22,Shipped,814.47
ORD0000211,ACC003506,CON003506,2023-11-21,Delivered,10928.68
ORD0000212,ACC008821,CON008821,2023-11-07,Delivered,4619.14
ORD0000213,ACC003645,CON003645,2025-07-14,Delivered,1348.11
ORD0000214,ACC003077,CON003077,2023-07-28,Shipped,725.56
ORD0000215,ACC007048,CON007048,2023-08-07,Cancelled,13132.01
ORD0000216,ACC002904,CON002904,2024-07-12,Shipped,1747.83
ORD0000217,ACC002654,CON002654,2025-02-08,Shipped,6103.110000000001
ORD0000218,ACC000401,CON000401,2025-04-19,Delivered,17614.23
ORD0000219,ACC009859,CON009859,2024-05-28,Delivered,807.47
ORD0000220,ACC002048,CON002048,2025-08-21,Delivered,4491.08
ORD0000221,ACC002138,CON002138,2025-12-29,Delivered,20878.12
ORD0000222,ACC004935,CON004935,2025-01-11,Cancelled,7702.450000000001
ORD0000223,ACC001679,CON001679,2025-09-29,Processing,5128.52
ORD0000224,ACC007825,CON007825,2026-05-18,Delivered,16350.279999999999
ORD0000225,ACC009422,CON009422,2024-12-16,Shipped,9404.34
ORD0000226,ACC009669,CON009669,2025-09-06,Delivered,9609.91
ORD0000227,ACC003609,CON003609,2023-11-14,Cancelled,11963.34
ORD0000228,ACC005920,CON005920,2024-11-26,Processing,11913.41
ORD0000229,ACC005953,CON005953,2026-05-03,Processing,14070.36
ORD0000230,ACC002705,CON002705,2026-04-18,Shipped,16943.38
ORD0000231,ACC000371,CON000371,2024-11-12,Processing,11215.91
ORD0000232,ACC000319,CON000319,2025-02-11,Processing,489.84
ORD0000233,ACC000379,CON000379,2024-07-08,Shipped,13764.51
ORD0000234,ACC007171,CON007171,2023-07-14,Delivered,14797.27
ORD0000235,ACC005935,CON005935,2026-03-11,Delivered,1637.79
ORD0000236,ACC008439,CON008439,2026-02-26,Delivered,13527.71
ORD0000237,ACC009341,CON009341,2024-05-23,Delivered,15915.8
ORD0000238,ACC008350,CON008350,2025-03-05,Shipped,10963.550000000001
ORD0000239,ACC009900,CON009900,2026-05-08,Delivered,16338.91
ORD0000240,ACC001432,CON001432,2024-04-08,Cancelled,5872.039999999999
ORD0000241,ACC008752,CON008752,2024-10-30,Delivered,9359.5
ORD0000242,ACC001214,CON001214,2025-09-27,Delivered,767.44
ORD0000243,ACC007273,CON007273,2023-12-29,Delivered,18222.31
ORD0000244,ACC000573,CON000573,2025-06-08,Shipped,16708.93
ORD0000245,ACC005049,CON005049,2026-05-27,Cancelled,8034.96
ORD0000246,ACC009854,CON009854,2025-05-01,Shipped,15509.74
ORD0000247,ACC002001,CON002001,2024-11-17,Delivered,15949.11
ORD0000248,ACC005806,CON005806,2025-09-12,Shipped,7301.95
ORD0000249,ACC003479,CON003479,2025-01-13,Processing,8378.97
ORD0000250,ACC001691,CON001691,2024-08-21,Shipped,9430.539999999999
ORD0000251,ACC008724,CON008724,2025-09-01,Cancelled,20099.949999999997
ORD0000252,ACC004285,CON004285,2025-08-03,Delivered,4010.58
ORD0000253,ACC004797,CON004797,2025-08-04,Shipped,9961.23
ORD0000254,ACC006688,CON006688,2026-03-28,Delivered,10636.5
ORD0000255,ACC009821,CON009821,2023-09-05,Cancelled,14396.32
ORD0000256,ACC009629,CON009629,2024-12-09,Cancelled,9385.99
ORD0000257,ACC006449,CON006449,2026-05-31,Cancelled,6233.9
ORD0000258,ACC009777,CON009777,2023-08-06,Shipped,4932.9
ORD0000259,ACC004601,CON004601,2025-06-19,Delivered,4546.1
ORD0000260,ACC005838,CON005838,2024-08-20,Delivered,5570.32
ORD0000261,ACC008923,CON008923,2024-09-14,Processing,4208.42
ORD0000262,ACC003505,CON003505,2025-09-19,Cancelled,18709.2
ORD0000263,ACC009808,CON009808,2024-12-11,Cancelled,11254.19
ORD0000264,ACC006849,CON006849,2024-03-25,Shipped,4526.28
ORD0000265,ACC007706,CON007706,2024-12-09,Shipped,1793.6
ORD0000266,ACC003989,CON003989,2025-01-21,Cancelled,3058.02
ORD0000267,ACC006750,CON006750,2026-04-15,Cancelled,1923.96
ORD0000268,ACC000933,CON000933,2026-04-05,Delivered,6837.16
ORD0000269,ACC002797,CON002797,2023-10-09,Cancelled,5870.92
ORD0000270,ACC008685,CON008685,2026-05-13,Cancelled,8181.61
ORD0000271,ACC007295,CON007295,2023-11-27,Shipped,4487.55
ORD0000272,ACC003134,CON003134,2026-03-30,Delivered,12723.1
ORD0000273,ACC009033,CON009033,2023-12-12,Delivered,4916.56
ORD0000274,ACC002673,CON002673,2026-06-09,Cancelled,25923.61
ORD0000275,ACC000385,CON000385,2025-09-06,Processing,6439.04
ORD0000276,ACC003252,CON003252,2025-06-25,Shipped,4698.6900000000005
ORD0000277,ACC004743,CON004743,2026-03-02,Shipped,12940.239999999998
ORD0000278,ACC003348,CON003348,2025-07-18,Cancelled,15505.279999999999
ORD0000279,ACC003968,CON003968,2026-03-22,Delivered,6961.93
ORD0000280,ACC009592,CON009592,2025-08-14,Processing,14188.83
ORD0000281,ACC006251,CON006251,2024-03-16,Processing,10770.46
ORD0000282,ACC001110,CON001110,2023-08-01,Shipped,4028.6
ORD0000283,ACC001723,CON001723,2025-12-20,Cancelled,11138.08
ORD0000284,ACC005572,CON005572,2025-12-23,Delivered,16591.329999999998
ORD0000285,ACC007581,CON007581,2026-03-21,Delivered,10398.86
ORD0000286,ACC007971,CON007971,2025-04-26,Cancelled,391.78
ORD0000287,ACC008032,CON008032,2025-03-22,Delivered,11793.33
ORD0000288,ACC009136,CON009136,2023-10-13,Delivered,2709.92
ORD0000289,ACC008765,CON008765,2024-02-29,Cancelled,21173.42
ORD0000290,ACC000869,CON000869,2026-02-15,Delivered,12360.92
ORD0000291,ACC003540,CON003540,2026-03-14,Shipped,17762.53
ORD0000292,ACC006250,CON006250,2026-03-23,Cancelled,16326.36
ORD0000293,ACC004782,CON004782,2025-12-19,Cancelled,8978.34
ORD0000294,ACC004601,CON004601,2023-08-28,Delivered,6181.09
ORD0000295,ACC004383,CON004383,2026-06-08,Cancelled,4334.46
ORD0000296,ACC000110,CON000110,2023-10-28,Delivered,20768.58
ORD0000297,ACC006933,CON006933,2026-04-23,Delivered,15528.370000000003
ORD0000298,ACC003205,CON003205,2024-05-03,Delivered,7354.17
ORD0000299,ACC002574,CON002574,2023-06-11,Cancelled,21087.81
ORD0000300,ACC004585,CON004585,2024-05-01,Delivered,4408.15
ORD0000301,ACC003097,CON003097,2025-10-02,Shipped,10280.82
ORD0000302,ACC007177,CON007177,2024-08-31,Processing,16149.570000000002
ORD0000303,ACC008199,CON008199,2025-06-19,Delivered,11465.470000000001
ORD0000304,ACC006034,CON006034,2023-07-11,Shipped,12671.09
ORD0000305,ACC005511,CON005511,2024-03-07,Delivered,9845.5
ORD0000306,ACC005586,CON005586,2025-01-31,Cancelled,12580.08
ORD0000307,ACC004507,CON004507,2025-02-27,Delivered,20616.36
ORD0000308,ACC008918,CON008918,2023-07-31,Shipped,18921.7
ORD0000309,ACC003296,CON003296,2024-08-02,Delivered,12754.48
ORD0000310,ACC005810,CON005810,2024-12-11,Delivered,14398.11
ORD0000311,ACC008835,CON008835,2024-11-05,Cancelled,2536.83
ORD0000312,ACC009211,CON009211,2025-02-10,Shipped,9672.98
ORD0000313,ACC005587,CON005587,2025-12-24,Cancelled,7023.48
ORD0000314,ACC009657,CON009657,2025-11-23,Processing,334.52
ORD0000315,ACC009500,CON009500,2026-01-13,Delivered,7599.5599999999995
ORD0000316,ACC008916,CON008916,2024-01-30,Delivered,9637.810000000001
ORD0000317,ACC002620,CON002620,2024-06-27,Cancelled,298.26
ORD0000318,ACC007451,CON007451,2024-11-22,Delivered,8775.169999999998
ORD0000319,ACC000937,CON000937,2026-01-20,Delivered,21422.32
ORD0000320,ACC001713,CON001713,2026-02-24,Delivered,12132.2
ORD0000321,ACC009473,CON009473,2023-12-09,Cancelled,10666.29
ORD0000322,ACC001124,CON001124,2025-09-13,Shipped,6292.139999999999
ORD0000323,ACC004179,CON004179,2025-01-30,Delivered,19090.03
ORD0000324,ACC006797,CON006797,2025-12-13,Processing,12077.529999999999
ORD0000325,ACC005811,CON005811,2024-01-11,Delivered,9145.46
ORD0000326,ACC001742,CON001742,2025-03-08,Shipped,10815.93
ORD0000327,ACC001366,CON001366,2025-07-22,Delivered,2564.82
ORD0000328,ACC005689,CON005689,2023-10-22,Delivered,2615.85
ORD0000329,ACC003953,CON003953,2025-05-10,Shipped,15383.86
ORD0000330,ACC009678,CON009678,2023-10-05,Processing,5152.12
ORD0000331,ACC007213,CON007213,2023-10-11,Delivered,7547.6
ORD0000332,ACC002016,CON002016,2024-02-08,Delivered,13132.78
ORD0000333,ACC001363,CON001363,2025-03-03,Delivered,2013.16
ORD0000334,ACC008694,CON008694,2024-06-09,Delivered,10617.119999999999
ORD0000335,ACC006429,CON006429,2025-01-14,Shipped,25819.78
ORD0000336,ACC004396,CON004396,2025-01-10,Shipped,3005.88
ORD0000337,ACC003081,CON003081,2024-07-23,Shipped,13601.69
ORD0000338,ACC004067,CON004067,2025-04-25,Delivered,7391.34
ORD0000339,ACC003223,CON003223,2023-09-18,Delivered,1938.71
ORD0000340,ACC007221,CON007221,2024-03-28,Delivered,6269.96
ORD0000341,ACC006901,CON006901,2025-10-04,Shipped,10911.970000000001
ORD0000342,ACC009277,CON009277,2023-10-06,Delivered,18700.46
ORD0000343,ACC002666,CON002666,2025-05-09,Delivered,8503.56
ORD0000344,ACC005436,CON005436,2023-07-28,Delivered,10062.1
ORD0000345,ACC008494,CON008494,2023-12-12,Delivered,14769.01
ORD0000346,ACC008683,CON008683,2023-07-18,Shipped,11825.9
ORD0000347,ACC009020,CON009020,2025-07-21,Shipped,10062.11
ORD0000348,ACC009266,CON009266,2023-12-01,Delivered,15079.93
ORD0000349,ACC000299,CON000299,2024-07-23,Processing,6802.040000000001
ORD0000350,ACC001591,CON001591,2024-10-13,Processing,8277.68
ORD0000351,ACC005116,CON005116,2024-08-26,Cancelled,10196.24
ORD0000352,ACC005095,CON005095,2024-03-08,Delivered,9358.36
ORD0000353,ACC006953,CON006953,2025-12-26,Delivered,4013.48
ORD0000354,ACC006294,CON006294,2026-01-18,Delivered,15514.54
ORD0000355,ACC008016,CON008016,2025-07-18,Cancelled,21574.52
ORD0000356,ACC008804,CON008804,2024-06-20,Processing,7524.54
ORD0000357,ACC007712,CON007712,2023-09-04,Shipped,15062.54
ORD0000358,ACC006760,CON006760,2026-01-29,Cancelled,11561.11
ORD0000359,ACC004305,CON004305,2024-02-24,Cancelled,14146.5
ORD0000360,ACC008286,CON008286,2023-09-03,Shipped,17950.35
ORD0000361,ACC008141,CON008141,2024-02-17,Shipped,5921.620000000001
ORD0000362,ACC008849,CON008849,2025-07-25,Shipped,7490.400000000001
ORD0000363,ACC001372,CON001372,2023-09-24,Processing,17891.800000000003
ORD0000364,ACC004091,CON004091,2023-09-02,Processing,2251.75
ORD0000365,ACC008698,CON008698,2024-07-21,Processing,725.72
ORD0000366,ACC009607,CON009607,2025-05-06,Delivered,5577.740000000001
ORD0000367,ACC000738,CON000738,2023-07-14,Shipped,19615.45
ORD0000368,ACC009005,CON009005,2023-06-18,Shipped,7941.0
ORD0000369,ACC007932,CON007932,2024-11-10,Shipped,4494.75
ORD0000370,ACC008753,CON008753,2024-04-29,Delivered,4772.71
ORD0000371,ACC003235,CON003235,2025-04-09,Cancelled,2543.46
ORD0000372,ACC000706,CON000706,2025-10-02,Delivered,18753.36
ORD0000373,ACC005187,CON005187,2023-10-11,Cancelled,7858.9
ORD0000374,ACC009527,CON009527,2025-12-24,Cancelled,1354.53
ORD0000375,ACC005743,CON005743,2024-01-28,Delivered,16448.14
ORD0000376,ACC004908,CON004908,2025-12-17,Delivered,12036.57
ORD0000377,ACC000673,CON000673,2024-05-21,Processing,4624.27
ORD0000378,ACC008736,CON008736,2025-03-22,Cancelled,2407.25
ORD0000379,ACC002886,CON002886,2025-05-18,Cancelled,9344.45
ORD0000380,ACC004919,CON004919,2023-10-03,Shipped,1675.2
ORD0000381,ACC004688,CON004688,2025-10-12,Shipped,10825.72
ORD0000382,ACC001523,CON001523,2026-04-01,Delivered,717.06
ORD0000383,ACC003715,CON003715,2026-04-08,Delivered,17676.88
ORD0000384,ACC005252,CON005252,2025-04-13,Processing,2340.6800000000003
ORD0000385,ACC006195,CON006195,2023-10-04,Shipped,9157.19
ORD0000386,ACC003283,CON003283,2025-04-05,Delivered,4053.7200000000003
ORD0000387,ACC007744,CON007744,2026-01-11,Cancelled,14691.189999999999
ORD0000388,ACC009294,CON009294,2026-01-08,Delivered,4046.69
ORD0000389,ACC001495,CON001495,2025-09-07,Delivered,9660.57
ORD0000390,ACC009548,CON009548,2024-07-31,Processing,6705.0599999999995
ORD0000391,ACC002700,CON002700,2024-12-17,Delivered,1765.76
ORD0000392,ACC001830,CON001830,2026-03-13,Processing,9096.66
