payment_id,order_id,payment_date,payment_method,amount,status
PAY0000081,ORD0000081,2023-09-24,Credit Card,17536.92,Paid
PAY0000082,ORD0000082,2025-10-09,PayPal,11417.11,Paid
PAY0000083,ORD0000083,2025-03-04,Bank Transfer,8686.630000000001,Paid
PAY0000084,ORD0000084,2024-07-07,Credit Card,17134.989999999998,Paid
PAY0000085,ORD0000085,2025-03-22,Credit Card,1336.64,Paid
PAY0000086,ORD0000086,2025-05-30,Credit Card,7159.4800000000005,Paid
PAY0000087,ORD0000087,2025-08-11,Debit Card,8353.62,Paid
PAY0000088,ORD0000088,2025-07-13,Debit Card,15365.749999999998,Paid
PAY0000089,ORD0000089,2025-05-16,Credit Card,1103.65,Paid
PAY0000090,ORD0000090,2024-08-21,Apple Pay,12970.67,Paid
PAY0000091,ORD0000091,2025-11-19,PayPal,4766.1900000000005,Paid
PAY0000092,ORD0000092,2025-07-31,Apple Pay,5643.650000000001,Paid
PAY0000093,ORD0000093,2023-08-21,PayPal,8099.0,Pending
PAY0000094,ORD0000094,2023-09-18,Apple Pay,6689.150000000001,Pending
PAY0000095,ORD0000095,2025-06-19,Bank Transfer,6840.64,Paid
PAY0000096,ORD0000096,2024-10-05,Credit Card,16449.36,Paid
PAY0000097,ORD0000097,2024-09-28,PayPal,14888.71,Pending
PAY0000098,ORD0000098,2024-07-26,Bank Transfer,7031.700000000001,Paid
PAY0000099,ORD0000099,2024-10-23,PayPal,12433.36,Paid
PAY0000100,ORD0000100,2026-05-10,Credit Card,19204.22,Paid
PAY0000101,ORD0000101,2025-04-22,PayPal,15353.289999999999,Pending
PAY0000102,ORD0000102,2024-11-04,PayPal,17591.52,Pending
PAY0000103,ORD0000103,2026-03-17,Apple Pay,16167.0,Paid
PAY0000104,ORD0000104,2025-08-30,Credit Card,6675.92,Pending
PAY0000105,ORD0000105,2026-05-19,Debit Card,11454.630000000001,Paid
PAY0000106,ORD0000106,2024-03-24,PayPal,5317.4,Pending
PAY0000107,ORD0000107,2024-01-03,Credit Card,13849.36,Pending
PAY0000108,ORD0000108,2023-11-30,PayPal,14648.51,Paid
PAY0000109,ORD0000109,2024-06-13,Credit Card,21126.68,Paid
PAY0000110,ORD0000110,2024-01-23,PayPal,10709.17,Paid
PAY0000111,ORD0000111,2025-09-18,Credit Card,12909.24,Paid
PAY0000112,ORD0000112,2026-01-25,PayPal,4054.8599999999997,Paid
PAY0000113,ORD0000113,2024-04-19,Debit Card,6515.25,Paid
PAY0000114,ORD0000114,2026-01-01,Credit Card,512.8,Paid
PAY0000115,ORD0000115,2025-10-24,Apple Pay,6371.79,Pending
PAY0000116,ORD0000116,2025-07-24,Debit Card,11673.470000000001,Paid
PAY0000117,ORD0000117,2026-03-25,Apple Pay,2118.9,Paid
PAY0000118,ORD0000118,2025-09-11,Credit Card,1834.71,Paid
PAY0000119,ORD0000119,2025-10-29,Apple Pay,23991.9,Pending
PAY0000120,ORD0000120,2026-04-02,Credit Card,24829.050000000003,Paid
PAY0000121,ORD0000121,2025-01-16,Credit Card,12764.04,Pending
PAY0000122,ORD0000122,2024-10-28,Credit Card,15219.050000000001,Paid
PAY0000123,ORD0000123,2025-11-06,Bank Transfer,7321.24,Pending
PAY0000124,ORD0000124,2023-09-17,PayPal,3332.2799999999997,Paid
PAY0000125,ORD0000125,2025-02-09,Credit Card,2134.7799999999997,Pending
PAY0000126,ORD0000126,2025-01-29,Credit Card,11956.240000000002,Paid
PAY0000127,ORD0000127,2023-12-24,Apple Pay,12401.68,Pending
PAY0000128,ORD0000128,2023-09-08,Debit Card,18235.88,Paid
PAY0000129,ORD0000129,2025-09-26,Credit Card,17785.21,Pending
PAY0000130,ORD0000130,2023-08-25,Apple Pay,2625.04,Paid
PAY0000131,ORD0000131,2024-01-24,Apple Pay,14284.32,Paid
PAY0000132,ORD0000132,2024-08-02,Bank Transfer,2017.1999999999998,Paid
PAY0000133,ORD0000133,2025-09-05,Bank Transfer,9391.35,Pending
PAY0000134,ORD0000134,2025-12-19,Apple Pay,4336.1,Paid
PAY0000135,ORD0000135,2024-06-18,Credit Card,6595.49,Paid
PAY0000136,ORD0000136,2024-02-14,PayPal,649.1,Paid
PAY0000137,ORD0000137,2025-07-04,PayPal,10690.19,Pending
PAY0000138,ORD0000138,2025-06-12,Debit Card,6174.88,Paid
PAY0000139,ORD0000139,2025-05-09,Credit Card,5088.97,Paid
PAY0000140,ORD0000140,2024-11-04,PayPal,8111.150000000001,Paid
PAY0000141,ORD0000141,2025-05-15,Credit Card,16481.31,Paid
PAY0000142,ORD0000142,2025-03-15,PayPal,6651.28,Paid
PAY0000143,ORD0000143,2025-02-25,Apple Pay,2739.15,Paid
PAY0000144,ORD0000144,2024-10-08,Apple Pay,6698.55,Paid
PAY0000145,ORD0000145,2024-11-07,Bank Transfer,205.26,Paid
PAY0000146,ORD0000146,2026-02-10,Credit Card,9911.26,Pending
PAY0000147,ORD0000147,2023-08-04,Apple Pay,6335.889999999999,Pending
PAY0000148,ORD0000148,2026-04-03,Credit Card,459.03,Paid
PAY0000149,ORD0000149,2023-06-18,Debit Card,4478.08,Paid
PAY0000150,ORD0000150,2024-12-11,Debit Card,1814.45,Paid
PAY0000151,ORD0000151,2023-09-30,Apple Pay,7337.48,Paid
PAY0000152,ORD0000152,2026-05-11,Apple Pay,5280.69,Paid
PAY0000153,ORD0000153,2026-01-29,PayPal,8430.76,Paid
PAY0000154,ORD0000154,2023-12-29,Apple Pay,8996.91,Paid
PAY0000155,ORD0000155,2023-10-05,PayPal,11778.57,Pending
PAY0000156,ORD0000156,2025-11-10,Bank Transfer,17592.67,Pending
PAY0000157,ORD0000157,2023-08-31,Credit Card,7976.45,Paid
PAY0000158,ORD0000158,2024-12-23,PayPal,5656.5599999999995,Paid
PAY0000159,ORD0000159,2023-09-12,Credit Card,25042.440000000002,Paid
PAY0000160,ORD0000160,2026-05-26,Debit Card,13351.76,Paid
PAY0000161,ORD0000161,2025-03-31,Apple Pay,5469.2300000000005,Paid
PAY0000162,ORD0000162,2026-03-10,Bank Transfer,6633.889999999999,Paid
PAY0000163,ORD0000163,2024-07-21,PayPal,23162.71,Paid
PAY0000164,ORD0000164,2024-09-25,PayPal,20653.77,Paid
PAY0000165,ORD0000165,2024-10-25,Apple Pay,15950.02,Paid
PAY0000166,ORD0000166,2023-10-23,Apple Pay,13493.45,Paid
PAY0000167,ORD0000167,2024-12-30,Debit Card,2167.64,Paid
PAY0000168,ORD0000168,2023-12-11,Apple Pay,15355.76,Paid
PAY0000169,ORD0000169,2026-04-30,PayPal,6148.040000000001,Paid
PAY0000170,ORD0000170,2023-12-22,Apple Pay,1099.44,Pending
PAY0000171,ORD0000171,2023-11-17,Bank Transfer,1028.83,Pending
PAY0000172,ORD0000172,2023-08-22,Apple Pay,4463.79,Paid
PAY0000173,ORD0000173,2024-02-06,Apple Pay,9256.43,Pending
PAY0000174,ORD0000174,2023-09-22,PayPal,8799.36,Paid
PAY0000175,ORD0000175,2025-10-03,Apple Pay,9875.16,Paid
PAY0000176,ORD0000176,2024-01-13,Debit Card,24722.75,Pending
PAY0000177,ORD0000177,2025-07-15,Debit Card,8872.72,Paid
PAY0000178,ORD0000178,2026-06-06,PayPal,2595.8,Paid
PAY0000179,ORD0000179,2024-05-02,Credit Card,10167.35,Pending
PAY0000180,ORD0000180,2023-10-09,PayPal,1259.84,Paid
PAY0000181,ORD0000181,2024-12-05,Credit Card,20179.11,Paid
PAY0000182,ORD0000182,2025-07-13,Apple Pay,3538.8599999999997,Paid
PAY0000183,ORD0000183,2025-09-08,Apple Pay,11741.96,Paid
PAY0000184,ORD0000184,2026-01-14,Debit Card,13405.64,Paid
PAY0000185,ORD0000185,2025-09-16,Bank Transfer,4997.35,Paid
PAY0000186,ORD0000186,2024-11-14,Debit Card,2696.35,Pending
PAY0000187,ORD0000187,2024-09-11,Bank Transfer,2487.82,Paid
PAY0000188,ORD0000188,2023-12-15,Debit Card,3175.42,Paid
PAY0000189,ORD0000189,2026-05-20,Bank Transfer,14037.060000000001,Paid
PAY0000190,ORD0000190,2026-05-15,Credit Card,7827.34,Paid
PAY0000191,ORD0000191,2024-08-04,PayPal,2371.84,Paid
PAY0000192,ORD0000192,2024-06-05,Debit Card,10269.539999999999,Paid
PAY0000193,ORD0000193,2024-02-18,Bank Transfer,30914.07,Pending
PAY0000194,ORD0000194,2025-12-12,Credit Card,2736.24,Pending
PAY0000195,ORD0000195,2026-01-15,Debit Card,17279.67,Paid
PAY0000196,ORD0000196,2026-05-28,PayPal,17426.73,Paid
PAY0000197,ORD0000197,2025-02-18,Credit Card,6438.88,Paid
PAY0000198,ORD0000198,2026-05-19,Credit Card,1996.92,Paid
PAY0000199,ORD0000199,2025-11-22,Debit Card,5223.87,Paid
PAY0000200,ORD0000200,2025-07-27,Debit Card,3703.48,Pending
PAY0000201,ORD0000201,2026-01-23,Debit Card,5021.6900000000005,Paid
PAY0000202,ORD0000202,2025-02-05,Apple Pay,10577.369999999999,Paid
PAY0000203,ORD0000203,2023-12-17,Apple Pay,5793.08,Paid
PAY0000204,ORD0000204,2024-01-10,Apple Pay,7717.700000000001,Paid
PAY0000205,ORD0000205,2025-10-09,Debit Card,424.5,Pending
PAY0000206,ORD0000206,2024-05-13,Bank Transfer,7503.56,Paid
PAY0000207,ORD0000207,2024-08-09,Debit Card,21898.14,Paid
PAY0000208,ORD0000208,2024-09-03,Credit Card,5009.47,Paid
PAY0000209,ORD0000209,2026-02-20,Apple Pay,3194.14,Paid
PAY0000210,ORD0000210,2025-01-22,Apple Pay,814.47,Paid
PAY0000211,ORD0000211,2023-11-21,Bank Transfer,10928.68,Pending
PAY0000212,ORD0000212,2023-11-07,Bank Transfer,4619.14,Paid
PAY0000213,ORD0000213,2025-07-14,Apple Pay,1348.11,Paid
PAY0000214,ORD0000214,2023-07-28,Credit Card,725.56,Paid
PAY0000215,ORD0000215,2023-08-07,Debit Card,13132.01,Paid
PAY0000216,ORD0000216,2024-07-12,Credit Card,1747.83,Paid
PAY0000217,ORD0000217,2025-02-08,Apple Pay,6103.110000000001,Pending
PAY0000218,ORD0000218,2025-04-19,Debit Card,17614.23,Paid
PAY0000219,ORD0000219,2024-05-28,Apple Pay,807.47,Pending
PAY0000220,ORD0000220,2025-08-21,Credit Card,4491.08,Pending
PAY0000221,ORD0000221,2025-12-29,Bank Transfer,20878.12,Paid
PAY0000222,ORD0000222,2025-01-11,Apple Pay,7702.450000000001,Paid
PAY0000223,ORD0000223,2025-09-29,PayPal,5128.52,Paid
PAY0000224,ORD0000224,2026-05-18,Credit Card,16350.279999999999,Paid
PAY0000225,ORD0000225,2024-12-16,Apple Pay,9404.34,Pending
PAY0000226,ORD0000226,2025-09-06,PayPal,9609.91,Paid
PAY0000227,ORD0000227,2023-11-14,PayPal,11963.34,Paid
PAY0000228,ORD0000228,2024-11-26,Bank Transfer,11913.41,Pending
PAY0000229,ORD0000229,2026-05-03,Apple Pay,14070.36,Paid
PAY0000230,ORD0000230,2026-04-18,PayPal,16943.38,Paid
PAY0000231,ORD0000231,2024-11-12,Apple Pay,11215.91,Pending
PAY0000232,ORD0000232,2025-02-11,PayPal,489.84,Paid
PAY0000233,ORD0000233,2024-07-08,Debit Card,13764.51,Paid
PAY0000234,ORD0000234,2023-07-14,PayPal,14797.27,Paid
PAY0000235,ORD0000235,2026-03-11,Debit Card,1637.79,Paid
PAY0000236,ORD0000236,2026-02-26,Apple Pay,13527.71,Paid
PAY0000237,ORD0000237,2024-05-23,Bank Transfer,15915.8,Pending
PAY0000238,ORD0000238,2025-03-05,Debit Card,10963.550000000001,Paid
PAY0000239,ORD0000239,2026-05-08,Debit Card,16338.91,Paid
PAY0000240,ORD0000240,2024-04-08,Credit Card,5872.039999999999,Paid
PAY0000241,ORD0000241,2024-10-30,Debit Card,9359.5,Pending
PAY0000242,ORD0000242,2025-09-27,Bank Transfer,767.44,Paid
PAY0000243,ORD0000243,2023-12-29,PayPal,18222.31,Pending
PAY0000244,ORD0000244,2025-06-08,Apple Pay,16708.93,Paid
PAY0000245,ORD0000245,2026-05-27,Credit Card,8034.96,Pending
PAY0000246,ORD0000246,2025-05-01,PayPal,15509.74,Paid
PAY0000247,ORD0000247,2024-11-17,Debit Card,15949.11,Pending
PAY0000248,ORD0000248,2025-09-12,Debit Card,7301.95,Pending
PAY0000249,ORD0000249,2025-01-13,Bank Transfer,8378.97,Pending
PAY0000250,ORD0000250,2024-08-21,Credit Card,9430.539999999999,Paid
PAY0000251,ORD0000251,2025-09-01,Bank Transfer,20099.949999999997,Paid
PAY0000252,ORD0000252,2025-08-03,PayPal,4010.58,Pending
PAY0000253,ORD0000253,2025-08-04,Debit Card,9961.23,Paid
PAY0000254,ORD0000254,2026-03-28,Credit Card,10636.5,Pending
PAY0000255,ORD0000255,2023-09-05,Credit Card,14396.32,Paid
PAY0000256,ORD0000256,2024-12-09,PayPal,9385.99,Paid
PAY0000257,ORD0000257,2026-05-31,Debit Card,6233.9,Pending
PAY0000258,ORD0000258,2023-08-06,Bank Transfer,4932.9,Paid
PAY0000259,ORD0000259,2025-06-19,Bank Transfer,4546.1,Pending
PAY0000260,ORD0000260,2024-08-20,Credit Card,5570.32,Paid
PAY0000261,ORD0000261,2024-09-14,Bank Transfer,4208.42,Paid
PAY0000262,ORD0000262,2025-09-19,Credit Card,18709.2,Paid
PAY0000263,ORD0000263,2024-12-11,Debit Card,11254.19,Paid
PAY0000264,ORD0000264,2024-03-25,PayPal,4526.28,Paid
PAY0000265,ORD0000265,2024-12-09,Apple Pay,1793.6,Paid
PAY0000266,ORD0000266,2025-01-21,Bank Transfer,3058.02,Paid
PAY0000267,ORD0000267,2026-04-15,Credit Card,1923.96,Paid
PAY0000268,ORD0000268,2026-04-05,Debit Card,6837.16,Pending
PAY0000269,ORD0000269,2023-10-09,Bank Transfer,5870.92,Paid
PAY0000270,ORD0000270,2026-05-13,Credit Card,8181.61,Pending
PAY0000271,ORD0000271,2023-11-27,Bank Transfer,4487.55,Paid
PAY0000272,ORD0000272,2026-03-30,Apple Pay,12723.1,Paid
PAY0000273,ORD0000273,2023-12-12,Apple Pay,4916.56,Paid
PAY0000274,ORD0000274,2026-06-09,Bank Transfer,25923.61,Paid
PAY0000275,ORD0000275,2025-09-06,Apple Pay,6439.04,Paid
PAY0000276,ORD0000276,2025-06-25,Bank Transfer,4698.6900000000005,Paid
PAY0000277,ORD0000277,2026-03-02,Apple Pay,12940.239999999998,Paid
PAY0000278,ORD0000278,2025-07-18,Bank Transfer,15505.279999999999,Pending
PAY0000279,ORD0000279,2026-03-22,Apple Pay,6961.93,Paid
PAY0000280,ORD0000280,2025-08-14,Debit Card,14188.83,Paid
PAY0000281,ORD0000281,2024-03-16,Apple Pay,10770.46,Pending
PAY0000282,ORD0000282,2023-08-01,Debit Card,4028.6,Paid
PAY0000283,ORD0000283,2025-12-20,Apple Pay,11138.08,Paid
PAY0000284,ORD0000284,2025-12-23,Bank Transfer,16591.329999999998,Paid
PAY0000285,ORD0000285,2026-03-21,Apple Pay,10398.86,Paid
PAY0000286,ORD0000286,2025-04-26,Bank Transfer,391.78,Pending
PAY0000287,ORD0000287,2025-03-22,Bank Transfer,11793.33,Paid
PAY0000288,ORD0000288,2023-10-13,Debit Card,2709.92,Pending
PAY0000289,ORD0000289,2024-02-29,Bank Transfer,21173.42,Paid
PAY0000290,ORD0000290,2026-02-15,Credit Card,12360.92,Paid
PAY0000291,ORD0000291,2026-03-14,Apple Pay,17762.53,Paid
PAY0000292,ORD0000292,2026-03-23,Apple Pay,16326.36,Paid
PAY0000293,ORD0000293,2025-12-19,Bank Transfer,8978.34,Paid
PAY0000294,ORD0000294,2023-08-28,PayPal,6181.09,Pending
PAY0000295,ORD0000295,2026-06-08,PayPal,4334.46,Paid
PAY0000296,ORD0000296,2023-10-28,Debit Card,20768.58,Paid
PAY0000297,ORD0000297,2026-04-23,Debit Card,15528.370000000003,Pending
PAY0000298,ORD0000298,2024-05-03,Credit Card,7354.17,Paid
PAY0000299,ORD0000299,2023-06-11,Credit Card,21087.81,Pending
PAY0000300,ORD0000300,2024-05-01,Bank Transfer,4408.15,Pending
PAY0000301,ORD0000301,2025-10-02,Bank Transfer,10280.82,Pending
PAY0000302,ORD0000302,2024-08-31,PayPal,16149.570000000002,Paid
PAY0000303,ORD0000303,2025-06-19,PayPal,11465.470000000001,Paid
PAY0000304,ORD0000304,2023-07-11,Debit Card,12671.09,Paid
PAY0000305,ORD0000305,2024-03-07,PayPal,9845.5,Paid
PAY0000306,ORD0000306,2025-01-31,Bank Transfer,12580.08,Pending
PAY0000307,ORD0000307,2025-02-27,PayPal,20616.36,Paid
PAY0000308,ORD0000308,2023-07-31,PayPal,18921.7,Paid
PAY0000309,ORD0000309,2024-08-02,Credit Card,12754.48,Paid
PAY0000310,ORD0000310,2024-12-11,PayPal,14398.11,Paid
PAY0000311,ORD0000311,2024-11-05,PayPal,2536.83,Pending
PAY0000312,ORD0000312,2025-02-10,Apple Pay,9672.98,Paid
PAY0000313,ORD0000313,2025-12-24,Credit Card,7023.48,Pending
PAY0000314,ORD0000314,2025-11-23,Credit Card,334.52,Pending
PAY0000315,ORD0000315,2026-01-13,PayPal,7599.5599999999995,Paid
PAY0000316,ORD0000316,2024-01-30,PayPal,9637.810000000001,Paid
PAY0000317,ORD0000317,2024-06-27,PayPal,298.26,Paid
PAY0000318,ORD0000318,2024-11-22,Debit Card,8775.169999999998,Paid
PAY0000319,ORD0000319,2026-01-20,PayPal,21422.32,Pending
PAY0000320,ORD0000320,2026-02-24,PayPal,12132.2,Paid
PAY0000321,ORD0000321,2023-12-09,Debit Card,10666.29,Pending
PAY0000322,ORD0000322,2025-09-13,Apple Pay,6292.139999999999,Paid
PAY0000323,ORD0000323,2025-01-30,PayPal,19090.03,Pending
PAY0000324,ORD0000324,2025-12-13,PayPal,12077.529999999999,Paid
PAY0000325,ORD0000325,2024-01-11,Credit Card,9145.46,Paid
PAY0000326,ORD0000326,2025-03-08,PayPal,10815.93,Pending
PAY0000327,ORD0000327,2025-07-22,Bank Transfer,2564.82,Pending
PAY0000328,ORD0000328,2023-10-22,Credit Card,2615.85,Pending
PAY0000329,ORD0000329,2025-05-10,Bank Transfer,15383.86,Paid
PAY0000330,ORD0000330,2023-10-05,PayPal,5152.12,Paid
PAY0000331,ORD0000331,2023-10-11,Apple Pay,7547.6,Paid
PAY0000332,ORD0000332,2024-02-08,Debit Card,13132.78,Paid
PAY0000333,ORD0000333,2025-03-03,Bank Transfer,2013.16,Paid
PAY0000334,ORD0000334,2024-06-09,Credit Card,10617.119999999999,Paid
PAY0000335,ORD0000335,2025-01-14,Bank Transfer,25819.78,Paid
PAY0000336,ORD0000336,2025-01-10,Bank Transfer,3005.88,Paid
PAY0000337,ORD0000337,2024-07-23,Apple Pay,13601.69,Paid
PAY0000338,ORD0000338,2025-04-25,PayPal,7391.34,Pending
PAY0000339,ORD0000339,2023-09-18,Debit Card,1938.71,Pending
PAY0000340,ORD0000340,2024-03-28,Apple Pay,6269.96,Paid
PAY0000341,ORD0000341,2025-10-04,Credit Card,10911.970000000001,Paid
PAY0000342,ORD0000342,2023-10-06,Debit Card,18700.46,Paid
PAY0000343,ORD0000343,2025-05-09,Debit Card,8503.56,Paid
PAY0000344,ORD0000344,2023-07-28,Debit Card,10062.1,Pending
PAY0000345,ORD0000345,2023-12-12,Debit Card,14769.01,Pending
PAY0000346,ORD0000346,2023-07-18,Bank Transfer,11825.9,Paid
PAY0000347,ORD0000347,2025-07-21,Debit Card,10062.11,Paid
PAY0000348,ORD0000348,2023-12-01,Bank Transfer,15079.93,Paid
PAY0000349,ORD0000349,2024-07-23,PayPal,6802.040000000001,Paid
PAY0000350,ORD0000350,2024-10-13,Bank Transfer,8277.68,Paid
PAY0000351,ORD0000351,2024-08-26,PayPal,10196.24,Pending
PAY0000352,ORD0000352,2024-03-08,Credit Card,9358.36,Paid
PAY0000353,ORD0000353,2025-12-26,Debit Card,4013.48,Paid
PAY0000354,ORD0000354,2026-01-18,Credit Card,15514.54,Pending
PAY0000355,ORD0000355,2025-07-18,Debit Card,21574.52,Paid
PAY0000356,ORD0000356,2024-06-20,Credit Card,7524.54,Paid
PAY0000357,ORD0000357,2023-09-04,Apple Pay,15062.54,Pending
PAY0000358,ORD0000358,2026-01-29,PayPal,11561.11,Paid
PAY0000359,ORD0000359,2024-02-24,Bank Transfer,14146.5,Paid
PAY0000360,ORD0000360,2023-09-03,Apple Pay,17950.35,Paid
PAY0000361,ORD0000361,2024-02-17,Apple Pay,5921.620000000001,Paid
PAY0000362,ORD0000362,2025-07-25,Bank Transfer,7490.400000000001,Paid
PAY0000363,ORD0000363,2023-09-24,Debit Card,17891.800000000003,Paid
PAY0000364,ORD0000364,2023-09-02,Apple Pay,2251.75,Paid
PAY0000365,ORD0000365,2024-07-21,PayPal,725.72,Paid
PAY0000366,ORD0000366,2025-05-06,Bank Transfer,5577.740000000001,Pending
PAY0000367,ORD0000367,2023-07-14,PayPal,19615.45,Paid
PAY0000368,ORD0000368,2023-06-18,Credit Card,7941.0,Paid
PAY0000369,ORD0000369,2024-11-10,PayPal,4494.75,Paid
PAY0000370,ORD0000370,2024-04-29,Debit Card,4772.71,Paid
PAY0000371,ORD0000371,2025-04-09,Apple Pay,2543.46,Paid
PAY0000372,ORD0000372,2025-10-02,Apple Pay,18753.36,Paid
PAY0000373,ORD0000373,2023-10-11,Bank Transfer,7858.9,Paid
PAY0000374,ORD0000374,2025-12-24,PayPal,1354.53,Pending
PAY0000375,ORD0000375,2024-01-28,Credit Card,16448.14,Paid
PAY0000376,ORD0000376,2025-12-17,Apple Pay,12036.57,Paid
PAY0000377,ORD0000377,2024-05-21,PayPal,4624.27,Pending
PAY0000378,ORD0000378,2025-03-22,Bank Transfer,2407.25,Pending
