shipment_id,order_id,carrier,tracking_number,ship_date,status
SHP0000035,ORD0000035,UPS,FXL32386589,2025-02-17,In Transit
SHP0000036,ORD0000036,UPS,fxe91413362,2024-09-29,Delivered
SHP0000037,ORD0000037,UPS,NLN74797254,2024-08-16,Delivered
SHP0000038,ORD0000038,FedEx,CaJ27314134,2023-12-22,Delivered
SHP0000039,ORD0000039,UPS,FWE46168223,2024-03-15,Delivered
SHP0000040,ORD0000040,DHL,hlf01583570,2025-06-01,In Transit
SHP0000041,ORD0000041,FedEx,Yud81499446,2025-12-13,In Transit
SHP0000042,ORD0000042,FedEx,XQq17835343,2025-07-26,In Transit
SHP0000043,ORD0000043,DHL,xhF57971185,2024-02-14,Pending
SHP0000044,ORD0000044,USPS,Oov01952590,2025-01-15,Pending
SHP0000045,ORD0000045,USPS,mbg50030449,2025-12-31,Pending
SHP0000046,ORD0000046,FedEx,QTl62023298,2026-01-28,Pending
SHP0000047,ORD0000047,FedEx,LCA86030800,2025-01-20,Delivered
SHP0000048,ORD0000048,USPS,Ydf03072358,2023-10-18,In Transit
SHP0000049,ORD0000049,DHL,dgP92915852,2025-02-18,Pending
SHP0000050,ORD0000050,UPS,PvN07614358,2024-03-20,In Transit
SHP0000051,ORD0000051,UPS,gbV66444756,2023-10-27,In Transit
SHP0000052,ORD0000052,FedEx,zSI81052733,2025-10-21,Pending
SHP0000053,ORD0000053,UPS,TOt31342826,2026-04-27,Pending
SHP0000054,ORD0000054,USPS,ENA13907271,2025-03-30,Pending
SHP0000055,ORD0000055,FedEx,XQg12110290,2023-11-05,Pending
SHP0000056,ORD0000056,DHL,frX08064774,2026-04-26,Pending
SHP0000057,ORD0000057,UPS,ktD94817809,2026-06-05,In Transit
SHP0000058,ORD0000058,FedEx,xkp04611188,2023-10-13,Pending
SHP0000059,ORD0000059,DHL,CiI54964785,2025-06-30,Pending
SHP0000060,ORD0000060,DHL,vsu52350382,2025-02-03,In Transit
SHP0000061,ORD0000061,DHL,wtO78457051,2026-05-08,Pending
SHP0000062,ORD0000062,USPS,Wwi54619068,2024-10-09,Delivered
SHP0000063,ORD0000063,FedEx,YsD21202170,2025-12-12,In Transit
SHP0000064,ORD0000064,USPS,PJy51713527,2024-01-09,Delivered
SHP0000065,ORD0000065,USPS,Fmo51292240,2025-07-11,In Transit
SHP0000066,ORD0000066,FedEx,UMT85955623,2025-10-02,In Transit
SHP0000067,ORD0000067,USPS,EhU73159781,2024-04-05,Delivered
SHP0000068,ORD0000068,FedEx,VwW00820049,2023-12-31,Delivered
SHP0000069,ORD0000069,USPS,ujj15675597,2025-10-07,Pending
SHP0000070,ORD0000070,USPS,egq59940332,2025-12-18,Delivered
SHP0000071,ORD0000071,USPS,PPX22694754,2026-05-05,Delivered
SHP0000072,ORD0000072,USPS,GIq49994733,2024-06-12,Pending
SHP0000073,ORD0000073,USPS,Jxc25079722,2024-07-02,Delivered
SHP0000074,ORD0000074,FedEx,xPQ97980383,2023-08-20,Pending
SHP0000075,ORD0000075,FedEx,trC60746420,2024-09-27,Delivered
SHP0000076,ORD0000076,USPS,Hjn24192583,2024-11-23,In Transit
SHP0000077,ORD0000077,DHL,Roa94897975,2026-06-14,Delivered
SHP0000078,ORD0000078,DHL,pNM46541613,2025-10-17,In Transit
SHP0000079,ORD0000079,UPS,LWE17806279,2024-09-09,Delivered
SHP0000080,ORD0000080,FedEx,epu64353673,2025-02-05,In Transit
SHP0000081,ORD0000081,FedEx,KVd48901232,2023-09-26,Pending
SHP0000082,ORD0000082,UPS,Hjc65817216,2025-10-11,Delivered
SHP0000083,ORD0000083,UPS,OQs21017492,2025-03-09,Pending
SHP0000084,ORD0000084,UPS,ode39984600,2024-07-09,Pending
SHP0000085,ORD0000085,USPS,huC56523900,2025-03-25,Pending
SHP0000086,ORD0000086,DHL,SQZ80743796,2025-06-01,In Transit
SHP0000087,ORD0000087,DHL,uYB33883676,2025-08-18,Delivered
SHP0000088,ORD0000088,USPS,UuW59230494,2025-07-20,In Transit
SHP0000089,ORD0000089,FedEx,AQW07859993,2025-05-19,Delivered
SHP0000090,ORD0000090,DHL,BAI64092843,2024-08-23,Pending
SHP0000091,ORD0000091,UPS,IOS50089215,2025-11-25,In Transit
SHP0000092,ORD0000092,USPS,bUR18566937,2025-08-02,Pending
SHP0000093,ORD0000093,USPS,vWC08643348,2023-08-28,In Transit
SHP0000094,ORD0000094,DHL,HPm69993721,2023-09-21,Pending
SHP0000095,ORD0000095,DHL,JOC38356582,2025-06-26,Pending
SHP0000096,ORD0000096,FedEx,jXK98222756,2024-10-12,Pending
SHP0000097,ORD0000097,FedEx,vrt33302705,2024-10-05,Delivered
SHP0000098,ORD0000098,FedEx,qGs32646882,2024-07-29,Delivered
SHP0000099,ORD0000099,UPS,AxP26247982,2024-10-28,Delivered
SHP0000100,ORD0000100,FedEx,Rsm03321549,2026-05-11,Delivered
SHP0000101,ORD0000101,FedEx,FjE46519593,2025-04-29,Delivered
SHP0000102,ORD0000102,USPS,eRE54759535,2024-11-11,Delivered
SHP0000103,ORD0000103,USPS,hmJ94303508,2026-03-19,Pending
SHP0000104,ORD0000104,UPS,tGv70380205,2025-09-06,In Transit
SHP0000105,ORD0000105,DHL,jKm36160744,2026-05-21,Delivered
SHP0000106,ORD0000106,FedEx,rSg49556852,2024-03-29,In Transit
SHP0000107,ORD0000107,UPS,pUy18295347,2024-01-09,Pending
SHP0000108,ORD0000108,UPS,dJm45389912,2023-12-05,In Transit
SHP0000109,ORD0000109,FedEx,JYO02347857,2024-06-17,In Transit
SHP0000110,ORD0000110,DHL,MbS24599197,2024-01-24,Delivered
SHP0000111,ORD0000111,FedEx,Ckr25735846,2025-09-24,In Transit
SHP0000112,ORD0000112,DHL,Rej73987263,2026-01-29,Delivered
SHP0000113,ORD0000113,FedEx,Xic99818293,2024-04-23,Delivered
SHP0000114,ORD0000114,DHL,FWk35202680,2026-01-06,Delivered
SHP0000115,ORD0000115,DHL,tND48750646,2025-10-26,Delivered
SHP0000116,ORD0000116,DHL,bKt72219577,2025-07-27,In Transit
SHP0000117,ORD0000117,USPS,NGw88005834,2026-04-01,Delivered
SHP0000118,ORD0000118,USPS,nQt22242389,2025-09-16,In Transit
SHP0000119,ORD0000119,USPS,QTG85857643,2025-11-02,Pending
SHP0000120,ORD0000120,DHL,XNo76060225,2026-04-03,Delivered
SHP0000121,ORD0000121,UPS,eZs26652928,2025-01-17,Pending
SHP0000122,ORD0000122,UPS,oyq09690590,2024-10-31,In Transit
SHP0000123,ORD0000123,UPS,SnO46315976,2025-11-12,Delivered
SHP0000124,ORD0000124,USPS,Uhy00771538,2023-09-20,Delivered
SHP0000125,ORD0000125,USPS,ysZ45998207,2025-02-12,Delivered
SHP0000126,ORD0000126,DHL,sUM39591804,2025-02-02,Delivered
SHP0000127,ORD0000127,UPS,RXo50042230,2023-12-27,Delivered
SHP0000128,ORD0000128,USPS,qpZ87954598,2023-09-11,Delivered
SHP0000129,ORD0000129,DHL,adT45780525,2025-09-30,Delivered
SHP0000130,ORD0000130,DHL,MAv27741995,2023-09-01,Delivered
SHP0000131,ORD0000131,DHL,xjH64209590,2024-01-28,Delivered
SHP0000132,ORD0000132,FedEx,wKW54142719,2024-08-03,Delivered
SHP0000133,ORD0000133,UPS,MWz89625291,2025-09-06,Delivered
SHP0000134,ORD0000134,USPS,PCr02193591,2025-12-20,Pending
SHP0000135,ORD0000135,USPS,MfP47974822,2024-06-25,Delivered
SHP0000136,ORD0000136,FedEx,jOZ10566914,2024-02-15,Delivered
SHP0000137,ORD0000137,USPS,epF99906736,2025-07-07,In Transit
SHP0000138,ORD0000138,DHL,jTs30976294,2025-06-19,Delivered
SHP0000139,ORD0000139,USPS,Zvj87013891,2025-05-11,Pending
SHP0000140,ORD0000140,FedEx,FVd93373749,2024-11-06,Pending
SHP0000141,ORD0000141,USPS,hgW25184179,2025-05-21,Delivered
SHP0000142,ORD0000142,UPS,VZi33187180,2025-03-16,Delivered
SHP0000143,ORD0000143,FedEx,KtS40777848,2025-03-01,Delivered
SHP0000144,ORD0000144,USPS,aod37582994,2024-10-10,Delivered
SHP0000145,ORD0000145,UPS,hzc30174495,2024-11-12,Delivered
SHP0000146,ORD0000146,DHL,zkI11923926,2026-02-14,Pending
SHP0000147,ORD0000147,FedEx,zrc12326260,2023-08-07,In Transit
SHP0000148,ORD0000148,FedEx,vKP27870715,2026-04-07,Delivered
SHP0000149,ORD0000149,DHL,xhV85513043,2023-06-24,In Transit
SHP0000150,ORD0000150,UPS,OYG05535019,2024-12-15,Delivered
SHP0000151,ORD0000151,FedEx,vUw87790955,2023-10-04,In Transit
SHP0000152,ORD0000152,DHL,QwI31432526,2026-05-14,Delivered
SHP0000153,ORD0000153,USPS,fph16265389,2026-01-31,Delivered
SHP0000154,ORD0000154,USPS,IGK56427377,2024-01-03,Pending
SHP0000155,ORD0000155,FedEx,xms39920767,2023-10-07,In Transit
SHP0000156,ORD0000156,UPS,SMS92592566,2025-11-14,Delivered
SHP0000157,ORD0000157,FedEx,tGv50929007,2023-09-07,Delivered
SHP0000158,ORD0000158,FedEx,oOM90573510,2024-12-29,Pending
SHP0000159,ORD0000159,UPS,dEc75881882,2023-09-13,In Transit
SHP0000160,ORD0000160,DHL,Wzq47952289,2026-05-27,Delivered
SHP0000161,ORD0000161,DHL,ACp45049113,2025-04-05,In Transit
SHP0000162,ORD0000162,FedEx,fIp76526210,2026-03-14,In Transit
SHP0000163,ORD0000163,DHL,aGt42752419,2024-07-22,Delivered
SHP0000164,ORD0000164,DHL,hce65553430,2024-10-02,Pending
SHP0000165,ORD0000165,UPS,MSx22203712,2024-10-29,Pending
SHP0000166,ORD0000166,DHL,Vsy07942176,2023-10-25,In Transit
SHP0000167,ORD0000167,UPS,cZK39249833,2025-01-06,Delivered
SHP0000168,ORD0000168,DHL,Quq84684516,2023-12-15,Delivered
SHP0000169,ORD0000169,FedEx,Azs46801029,2026-05-01,Pending
SHP0000170,ORD0000170,FedEx,FSe26747637,2023-12-29,Pending
SHP0000171,ORD0000171,USPS,Hgj42487423,2023-11-23,Delivered
SHP0000172,ORD0000172,DHL,vhh21417900,2023-08-26,Pending
SHP0000173,ORD0000173,DHL,cSM23012389,2024-02-13,Delivered
SHP0000174,ORD0000174,USPS,KRF23085438,2023-09-25,Delivered
SHP0000175,ORD0000175,DHL,RDS89257230,2025-10-04,Delivered
SHP0000176,ORD0000176,DHL,dXN18507636,2024-01-16,Delivered
SHP0000177,ORD0000177,USPS,DPd67622577,2025-07-17,In Transit
SHP0000178,ORD0000178,USPS,BOX38488433,2026-06-12,Delivered
SHP0000179,ORD0000179,USPS,ZIB87418967,2024-05-05,Pending
SHP0000180,ORD0000180,FedEx,KyD97924817,2023-10-16,Pending
SHP0000181,ORD0000181,UPS,Bnf35380757,2024-12-10,Delivered
SHP0000182,ORD0000182,USPS,IAw23827959,2025-07-14,Delivered
SHP0000183,ORD0000183,FedEx,qie39801035,2025-09-14,Delivered
SHP0000184,ORD0000184,USPS,HTZ34283273,2026-01-20,In Transit
SHP0000185,ORD0000185,DHL,QJK03420562,2025-09-23,Pending
SHP0000186,ORD0000186,USPS,msC34136691,2024-11-16,In Transit
SHP0000187,ORD0000187,UPS,yeB50013742,2024-09-14,Delivered
SHP0000188,ORD0000188,USPS,GdG25258376,2023-12-16,Pending
SHP0000189,ORD0000189,DHL,kxl29628247,2026-05-25,In Transit
SHP0000190,ORD0000190,UPS,cmb23191483,2026-05-16,Pending
SHP0000191,ORD0000191,USPS,Wgg30354021,2024-08-11,Delivered
SHP0000192,ORD0000192,USPS,EMW62546405,2024-06-12,Delivered
SHP0000193,ORD0000193,UPS,nEE25181767,2024-02-22,In Transit
SHP0000194,ORD0000194,USPS,xPR32196309,2025-12-18,Pending
SHP0000195,ORD0000195,DHL,Zie97487499,2026-01-22,Delivered
SHP0000196,ORD0000196,DHL,iFu12356005,2026-05-30,In Transit
SHP0000197,ORD0000197,FedEx,Wxo92455709,2025-02-23,Pending
SHP0000198,ORD0000198,FedEx,woB35495510,2026-05-20,Delivered
SHP0000199,ORD0000199,UPS,NBQ48334531,2025-11-29,Pending
SHP0000200,ORD0000200,DHL,qMY23898627,2025-08-03,In Transit
SHP0000201,ORD0000201,UPS,Zat32967179,2026-01-28,Pending
SHP0000202,ORD0000202,UPS,CoE58185921,2025-02-10,In Transit
SHP0000203,ORD0000203,UPS,pwG15108394,2023-12-20,Delivered
SHP0000204,ORD0000204,USPS,rEW00431394,2024-01-16,In Transit
SHP0000205,ORD0000205,UPS,lth69431573,2025-10-12,Pending
SHP0000206,ORD0000206,DHL,sxB49147059,2024-05-16,Pending
SHP0000207,ORD0000207,FedEx,guJ62191882,2024-08-11,In Transit
SHP0000208,ORD0000208,USPS,GsO02356491,2024-09-06,Delivered
SHP0000209,ORD0000209,DHL,rcI36635504,2026-02-23,In Transit
SHP0000210,ORD0000210,USPS,xSu81730216,2025-01-27,Delivered
SHP0000211,ORD0000211,UPS,gJN72518978,2023-11-25,Delivered
SHP0000212,ORD0000212,UPS,UwM51499710,2023-11-10,Delivered
SHP0000213,ORD0000213,FedEx,OYf07536066,2025-07-21,Delivered
SHP0000214,ORD0000214,DHL,UxW17004451,2023-08-04,Delivered
SHP0000215,ORD0000215,FedEx,Iep68949026,2023-08-13,Delivered
SHP0000216,ORD0000216,UPS,vKp18120736,2024-07-16,Pending
SHP0000217,ORD0000217,USPS,sdl51842408,2025-02-12,Delivered
SHP0000218,ORD0000218,USPS,CUw54762580,2025-04-21,Delivered
SHP0000219,ORD0000219,UPS,dra92370222,2024-05-29,In Transit
SHP0000220,ORD0000220,DHL,ijU74410410,2025-08-22,In Transit
SHP0000221,ORD0000221,FedEx,Hbi19804292,2025-12-31,Delivered
SHP0000222,ORD0000222,DHL,Ntv02806299,2025-01-14,In Transit
SHP0000223,ORD0000223,UPS,rbe41893443,2025-10-03,Delivered
SHP0000224,ORD0000224,UPS,MrK10341216,2026-05-19,Pending
SHP0000225,ORD0000225,USPS,QxZ99562697,2024-12-19,Delivered
SHP0000226,ORD0000226,DHL,gnY43067718,2025-09-12,Delivered
SHP0000227,ORD0000227,USPS,baz25885088,2023-11-16,In Transit
SHP0000228,ORD0000228,UPS,HEw98311200,2024-12-02,Delivered
SHP0000229,ORD0000229,UPS,rKy65140268,2026-05-06,Delivered
SHP0000230,ORD0000230,USPS,zXr83883600,2026-04-25,In Transit
SHP0000231,ORD0000231,DHL,EgN35582384,2024-11-18,Pending
SHP0000232,ORD0000232,UPS,VdG77699497,2025-02-12,Pending
SHP0000233,ORD0000233,FedEx,Jol84309817,2024-07-09,Delivered
SHP0000234,ORD0000234,UPS,Ihc70612024,2023-07-18,Delivered
SHP0000235,ORD0000235,FedEx,JFt43941040,2026-03-15,In Transit
SHP0000236,ORD0000236,USPS,cIs78542355,2026-03-03,In Transit
SHP0000237,ORD0000237,FedEx,Ife08743821,2024-05-24,Pending
SHP0000238,ORD0000238,DHL,iDs96008725,2025-03-10,In Transit
SHP0000239,ORD0000239,DHL,zQX05196367,2026-05-09,Pending
SHP0000240,ORD0000240,UPS,MoA03559716,2024-04-12,Delivered
SHP0000241,ORD0000241,USPS,gVX21383787,2024-11-05,Pending
SHP0000242,ORD0000242,FedEx,gXH47235452,2025-10-02,Pending
SHP0000243,ORD0000243,DHL,lFn84100911,2024-01-03,Pending
SHP0000244,ORD0000244,UPS,Ghm53279940,2025-06-14,Pending
SHP0000245,ORD0000245,USPS,mvr51806912,2026-05-31,Pending
SHP0000246,ORD0000246,FedEx,DkX13501561,2025-05-03,Pending
SHP0000247,ORD0000247,USPS,Yft64358819,2024-11-18,Pending
SHP0000248,ORD0000248,USPS,taC37767953,2025-09-16,Delivered
SHP0000249,ORD0000249,FedEx,dDC12246268,2025-01-15,Delivered
SHP0000250,ORD0000250,USPS,oij32649764,2024-08-27,In Transit
SHP0000251,ORD0000251,UPS,eNk51752171,2025-09-08,In Transit
SHP0000252,ORD0000252,USPS,agd18544969,2025-08-10,Delivered
SHP0000253,ORD0000253,UPS,kqR40478108,2025-08-11,Delivered
SHP0000254,ORD0000254,DHL,JQo37791987,2026-04-02,Pending
SHP0000255,ORD0000255,FedEx,uHx74722460,2023-09-06,Delivered
SHP0000256,ORD0000256,DHL,DwH81597196,2024-12-12,In Transit
SHP0000257,ORD0000257,DHL,gnZ33850756,2026-06-07,Delivered
SHP0000258,ORD0000258,FedEx,Zys52807944,2023-08-08,Pending
SHP0000259,ORD0000259,DHL,KSj12158426,2025-06-23,Pending
SHP0000260,ORD0000260,USPS,mSj50677122,2024-08-27,Delivered
SHP0000261,ORD0000261,UPS,FJT93792683,2024-09-21,Delivered
SHP0000262,ORD0000262,DHL,UTv21875762,2025-09-24,Pending
SHP0000263,ORD0000263,USPS,rxr32487354,2024-12-13,In Transit
SHP0000264,ORD0000264,FedEx,luZ98383306,2024-03-30,In Transit
SHP0000265,ORD0000265,FedEx,Cjj86364081,2024-12-14,Delivered
SHP0000266,ORD0000266,USPS,yjH29751907,2025-01-27,Pending
SHP0000267,ORD0000267,FedEx,kJQ50651409,2026-04-21,Delivered
SHP0000268,ORD0000268,UPS,fff73141287,2026-04-06,Delivered
SHP0000269,ORD0000269,DHL,vHv21509320,2023-10-14,Delivered
SHP0000270,ORD0000270,UPS,uDm92598604,2026-05-19,In Transit
SHP0000271,ORD0000271,FedEx,Uef87417269,2023-12-01,Pending
SHP0000272,ORD0000272,UPS,XJJ03936767,2026-04-02,Pending
SHP0000273,ORD0000273,UPS,IkT24534472,2023-12-18,In Transit
SHP0000274,ORD0000274,USPS,Ifj45466438,2026-06-16,Pending
SHP0000275,ORD0000275,DHL,VWt88998184,2025-09-09,Pending
SHP0000276,ORD0000276,DHL,zlK26267198,2025-06-29,Pending
SHP0000277,ORD0000277,FedEx,HIj97499509,2026-03-06,Pending
SHP0000278,ORD0000278,DHL,eSO79934037,2025-07-25,Delivered
SHP0000279,ORD0000279,USPS,MWY03855307,2026-03-25,Pending
SHP0000280,ORD0000280,UPS,oxp85063137,2025-08-19,Pending
SHP0000281,ORD0000281,UPS,fOQ86189002,2024-03-19,Pending
SHP0000282,ORD0000282,FedEx,IVq19844549,2023-08-08,Pending
SHP0000283,ORD0000283,UPS,IGI66316449,2025-12-24,In Transit
SHP0000284,ORD0000284,UPS,ZmO35045962,2025-12-29,Delivered
SHP0000285,ORD0000285,USPS,Ggx00945816,2026-03-26,Delivered
SHP0000286,ORD0000286,USPS,Cyr74213756,2025-05-01,In Transit
SHP0000287,ORD0000287,DHL,KcU51442060,2025-03-23,In Transit
SHP0000288,ORD0000288,FedEx,zmJ02977029,2023-10-17,Delivered
SHP0000289,ORD0000289,UPS,NqK27757482,2024-03-02,Delivered
SHP0000290,ORD0000290,USPS,bdq50251232,2026-02-19,In Transit
SHP0000291,ORD0000291,USPS,VYn43765551,2026-03-19,Delivered
SHP0000292,ORD0000292,DHL,Gaa49958476,2026-03-26,Delivered
SHP0000293,ORD0000293,DHL,idP53537941,2025-12-25,In Transit
SHP0000294,ORD0000294,DHL,WfK50195129,2023-08-29,In Transit
SHP0000295,ORD0000295,FedEx,pNm48536927,2026-06-14,Pending
SHP0000296,ORD0000296,DHL,pNH42386412,2023-11-02,Delivered
SHP0000297,ORD0000297,USPS,HIW72434048,2026-04-30,In Transit
SHP0000298,ORD0000298,FedEx,NNr64103845,2024-05-04,In Transit
SHP0000299,ORD0000299,DHL,ijS03943991,2023-06-16,Delivered
SHP0000300,ORD0000300,FedEx,Zcd49330810,2024-05-05,In Transit
SHP0000301,ORD0000301,USPS,XuI75270298,2025-10-07,Pending
SHP0000302,ORD0000302,USPS,mII70662544,2024-09-02,Delivered
SHP0000303,ORD0000303,UPS,Cju43947752,2025-06-23,Delivered
SHP0000304,ORD0000304,USPS,bRb69407572,2023-07-18,In Transit
SHP0000305,ORD0000305,UPS,cJs25022627,2024-03-12,Delivered
SHP0000306,ORD0000306,USPS,cGK06943454,2025-02-03,Delivered
SHP0000307,ORD0000307,DHL,mMF48921449,2025-02-28,Delivered
SHP0000308,ORD0000308,DHL,ViA09131478,2023-08-05,Delivered
SHP0000309,ORD0000309,USPS,EKc56898008,2024-08-09,In Transit
SHP0000310,ORD0000310,DHL,vZA02061185,2024-12-15,Pending
SHP0000311,ORD0000311,DHL,OHE93093854,2024-11-12,In Transit
SHP0000312,ORD0000312,UPS,TFo83524323,2025-02-14,Pending
SHP0000313,ORD0000313,UPS,AcY34123545,2025-12-26,Delivered
SHP0000314,ORD0000314,DHL,TLE27887657,2025-11-25,Delivered
SHP0000315,ORD0000315,DHL,Sby39938038,2026-01-16,Delivered
SHP0000316,ORD0000316,USPS,xxx25096326,2024-02-06,Pending
SHP0000317,ORD0000317,USPS,VMx37409578,2024-06-29,Pending
SHP0000318,ORD0000318,DHL,exq46405752,2024-11-27,Delivered
SHP0000319,ORD0000319,USPS,FHG35295810,2026-01-26,Delivered
SHP0000320,ORD0000320,UPS,cxS84188001,2026-03-03,Pending
SHP0000321,ORD0000321,UPS,qbV13223471,2023-12-11,Delivered
SHP0000322,ORD0000322,UPS,BLS11809159,2025-09-15,Delivered
SHP0000323,ORD0000323,FedEx,IQx62292993,2025-02-01,Delivered
SHP0000324,ORD0000324,FedEx,Dbd99628494,2025-12-18,Delivered
SHP0000325,ORD0000325,USPS,NSS03793550,2024-01-16,Delivered
SHP0000326,ORD0000326,UPS,hpc56941026,2025-03-13,Delivered
SHP0000327,ORD0000327,USPS,NWK17182549,2025-07-27,In Transit
SHP0000328,ORD0000328,FedEx,jQe65098298,2023-10-24,Delivered
SHP0000329,ORD0000329,DHL,wdM23977294,2025-05-13,In Transit
SHP0000330,ORD0000330,FedEx,nhR91458184,2023-10-06,Pending
SHP0000331,ORD0000331,USPS,aCj15225579,2023-10-18,In Transit
SHP0000332,ORD0000332,DHL,HQf63398178,2024-02-11,In Transit
SHP0000333,ORD0000333,USPS,cbw27708781,2025-03-09,Delivered
SHP0000334,ORD0000334,UPS,Bji93595729,2024-06-15,Pending
SHP0000335,ORD0000335,DHL,VOj67127530,2025-01-16,Pending
SHP0000336,ORD0000336,FedEx,yGb02260737,2025-01-13,Delivered
SHP0000337,ORD0000337,FedEx,bdS97509824,2024-07-24,Delivered
SHP0000338,ORD0000338,UPS,PXh58945404,2025-04-27,Pending
SHP0000339,ORD0000339,FedEx,kbX87264168,2023-09-20,Delivered
SHP0000340,ORD0000340,UPS,JNd90221018,2024-04-02,Delivered
SHP0000341,ORD0000341,DHL,XBz51977347,2025-10-11,In Transit
SHP0000342,ORD0000342,DHL,eNN06055691,2023-10-08,In Transit
SHP0000343,ORD0000343,DHL,msL87050311,2025-05-16,Delivered
SHP0000344,ORD0000344,DHL,Wqx83564701,2023-07-31,Delivered
SHP0000345,ORD0000345,USPS,gCr33640934,2023-12-14,Delivered
SHP0000346,ORD0000346,FedEx,aqD96659821,2023-07-20,Delivered
SHP0000347,ORD0000347,USPS,eXp09081670,2025-07-22,Pending
SHP0000348,ORD0000348,USPS,tzD42501684,2023-12-08,Pending
SHP0000349,ORD0000349,DHL,eIh06419023,2024-07-29,Pending
SHP0000350,ORD0000350,UPS,igl14929779,2024-10-17,Delivered
SHP0000351,ORD0000351,USPS,tit04982590,2024-08-28,Delivered
SHP0000352,ORD0000352,FedEx,YIz70144020,2024-03-12,Pending
SHP0000353,ORD0000353,USPS,WFy78804509,2025-12-29,In Transit
SHP0000354,ORD0000354,USPS,Yrm27818135,2026-01-23,In Transit
SHP0000355,ORD0000355,DHL,yEl93149908,2025-07-21,In Transit
SHP0000356,ORD0000356,FedEx,DdX11254508,2024-06-26,Delivered
SHP0000357,ORD0000357,DHL,aiZ86697454,2023-09-07,In Transit
SHP0000358,ORD0000358,USPS,dOP27332524,2026-02-03,In Transit
SHP0000359,ORD0000359,UPS,GUQ38630241,2024-03-02,In Transit
SHP0000360,ORD0000360,DHL,YFt67857281,2023-09-05,In Transit
SHP0000361,ORD0000361,USPS,nZx27649777,2024-02-23,Delivered
SHP0000362,ORD0000362,FedEx,ezG65141741,2025-07-26,Delivered
SHP0000363,ORD0000363,DHL,WpC44867815,2023-09-27,Delivered
SHP0000364,ORD0000364,USPS,pZm26151061,2023-09-08,In Transit
SHP0000365,ORD0000365,USPS,sdy43108203,2024-07-28,Delivered
SHP0000366,ORD0000366,DHL,QHo66061923,2025-05-10,Pending
SHP0000367,ORD0000367,FedEx,YHT55658204,2023-07-18,Delivered
SHP0000368,ORD0000368,UPS,NAg54011463,2023-06-25,Delivered
SHP0000369,ORD0000369,UPS,uGM28529049,2024-11-12,In Transit
SHP0000370,ORD0000370,FedEx,IlZ66563590,2024-05-03,Pending
SHP0000371,ORD0000371,USPS,ecg51502580,2025-04-12,Pending
SHP0000372,ORD0000372,USPS,DIg58194002,2025-10-06,Pending
SHP0000373,ORD0000373,USPS,vAC79509435,2023-10-14,In Transit
SHP0000374,ORD0000374,FedEx,XKx59802301,2025-12-27,Delivered
SHP0000375,ORD0000375,DHL,GdL08222466,2024-01-29,Delivered
SHP0000376,ORD0000376,UPS,HpC96940213,2025-12-18,Pending
