request_id,account_id,contact_id,product_id,order_id,issue_type,status,service_request_date
SR0000094,ACC004233,CON004233,PROD001353,ORD0003474,Refund,Open,2025-07-17
SR0000095,ACC005753,CON005753,PROD001651,ORD0047640,Return,Open,2025-10-16
SR0000096,ACC009176,CON009176,PROD000637,ORD0045761,Warranty,Closed,2023-11-27
SR0000097,ACC000442,CON000442,PROD001774,ORD0031858,Technical Issue,Open,2023-12-02
SR0000098,ACC004359,CON004359,PROD000545,ORD0041447,Refund,Closed,2026-01-13
SR0000099,ACC007370,CON007370,PROD001587,ORD0032456,Technical Issue,Open,2026-04-25
SR0000100,ACC004065,CON004065,PROD000372,ORD0045709,Warranty,Closed,2024-10-23
SR0000101,ACC003685,CON003685,PROD001970,ORD0029569,Warranty,Closed,2025-10-15
SR0000102,ACC005363,CON005363,PROD000023,ORD0001426,Technical Issue,In Progress,2026-04-06
SR0000103,ACC007015,CON007015,PROD001111,ORD0032529,Return,Closed,2023-09-06
SR0000104,ACC003961,CON003961,PROD001999,ORD0028352,Technical Issue,Open,2024-03-22
SR0000105,ACC008077,CON008077,PROD001749,ORD0014107,Return,Open,2025-03-13
SR0000106,ACC000205,CON000205,PROD000709,ORD0041082,Return,Closed,2026-01-08
SR0000107,ACC001093,CON001093,PROD000304,ORD0003990,Return,Closed,2026-06-08
SR0000108,ACC005692,CON005692,PROD001137,ORD0030648,Refund,Open,2026-05-01
SR0000109,ACC006459,CON006459,PROD001486,ORD0044161,Refund,Closed,2023-07-29
SR0000110,ACC007255,CON007255,PROD001330,ORD0028690,Refund,Open,2025-11-23
SR0000111,ACC000297,CON000297,PROD000275,ORD0010744,Technical Issue,Closed,2026-01-05
SR0000112,ACC001781,CON001781,PROD001999,ORD0014889,Warranty,Open,2026-05-02
SR0000113,ACC007714,CON007714,PROD001045,ORD0001067,Technical Issue,In Progress,2026-03-12
SR0000114,ACC009261,CON009261,PROD000501,ORD0027278,Return,Open,2025-02-25
SR0000115,ACC009324,CON009324,PROD000163,ORD0015359,Refund,Closed,2023-08-02
SR0000116,ACC007276,CON007276,PROD001580,ORD0009146,Technical Issue,In Progress,2025-11-07
SR0000117,ACC005391,CON005391,PROD000290,ORD0006348,Refund,Closed,2024-05-27
SR0000118,ACC002759,CON002759,PROD000331,ORD0040723,Return,In Progress,2024-05-05
SR0000119,ACC001771,CON001771,PROD000017,ORD0043425,Warranty,In Progress,2025-05-09
SR0000120,ACC009571,CON009571,PROD001337,ORD0013116,Warranty,In Progress,2024-07-27
SR0000121,ACC003421,CON003421,PROD001295,ORD0025116,Technical Issue,Closed,2024-02-18
SR0000122,ACC006333,CON006333,PROD001437,ORD0003288,Technical Issue,Open,2025-04-10
SR0000123,ACC006477,CON006477,PROD001589,ORD0031576,Return,In Progress,2025-01-28
SR0000124,ACC001411,CON001411,PROD001306,ORD0024375,Warranty,Closed,2025-12-30
SR0000125,ACC009618,CON009618,PROD000738,ORD0027311,Return,In Progress,2024-11-13
SR0000126,ACC001551,CON001551,PROD001929,ORD0034474,Return,In Progress,2024-10-15
SR0000127,ACC001379,CON001379,PROD000365,ORD0038143,Refund,Open,2024-12-06
SR0000128,ACC000998,CON000998,PROD001333,ORD0006416,Refund,Closed,2023-09-23
SR0000129,ACC003347,CON003347,PROD000200,ORD0021784,Return,In Progress,2026-03-29
SR0000130,ACC001368,CON001368,PROD000472,ORD0027183,Refund,Closed,2025-12-25
SR0000131,ACC008346,CON008346,PROD001650,ORD0028971,Technical Issue,In Progress,2024-01-10
SR0000132,ACC008368,CON008368,PROD000983,ORD0001343,Refund,Closed,2026-02-07
SR0000133,ACC004430,CON004430,PROD001898,ORD0009271,Warranty,Closed,2024-01-24
SR0000134,ACC006651,CON006651,PROD001586,ORD0009918,Return,Open,2026-04-21
SR0000135,ACC005322,CON005322,PROD000223,ORD0008921,Warranty,In Progress,2024-04-19
SR0000136,ACC006684,CON006684,PROD000462,ORD0048966,Technical Issue,Closed,2023-08-10
SR0000137,ACC001638,CON001638,PROD000312,ORD0044365,Refund,In Progress,2023-06-22
SR0000138,ACC001910,CON001910,PROD000029,ORD0049738,Return,Open,2025-03-25
SR0000139,ACC003957,CON003957,PROD000541,ORD0028805,Refund,Closed,2024-07-13
SR0000140,ACC006118,CON006118,PROD001510,ORD0037400,Refund,Closed,2024-11-22
SR0000141,ACC006256,CON006256,PROD000785,ORD0002110,Return,Open,2024-05-23
SR0000142,ACC000193,CON000193,PROD001674,ORD0017837,Technical Issue,Open,2025-07-07
SR0000143,ACC007283,CON007283,PROD000355,ORD0009392,Warranty,In Progress,2023-08-12
SR0000144,ACC006442,CON006442,PROD000796,ORD0013615,Warranty,Open,2023-07-14
SR0000145,ACC005872,CON005872,PROD001951,ORD0047013,Return,Open,2025-08-23
SR0000146,ACC007933,CON007933,PROD000548,ORD0039526,Warranty,Open,2024-01-18
SR0000147,ACC001269,CON001269,PROD000602,ORD0037783,Technical Issue,Closed,2025-06-21
SR0000148,ACC003562,CON003562,PROD000356,ORD0025233,Warranty,In Progress,2024-03-13
SR0000149,ACC005677,CON005677,PROD000528,ORD0047460,Warranty,Open,2026-05-09
SR0000150,ACC004160,CON004160,PROD001454,ORD0032308,Return,In Progress,2025-03-02
SR0000151,ACC007315,CON007315,PROD000317,ORD0012423,Technical Issue,In Progress,2023-10-19
SR0000152,ACC000610,CON000610,PROD000472,ORD0045708,Warranty,Closed,2023-10-26
SR0000153,ACC001658,CON001658,PROD001736,ORD0018000,Return,In Progress,2024-12-26
SR0000154,ACC008716,CON008716,PROD001489,ORD0033515,Return,In Progress,2026-06-09
SR0000155,ACC005784,CON005784,PROD000040,ORD0032651,Refund,Open,2026-02-18
SR0000156,ACC004823,CON004823,PROD001937,ORD0012737,Return,In Progress,2025-01-24
SR0000157,ACC002461,CON002461,PROD001462,ORD0030062,Refund,Closed,2024-11-18
SR0000158,ACC002677,CON002677,PROD000775,ORD0030950,Return,Closed,2026-05-24
SR0000159,ACC005299,CON005299,PROD000519,ORD0002399,Technical Issue,In Progress,2024-07-15
SR0000160,ACC000465,CON000465,PROD000100,ORD0011275,Warranty,Closed,2024-03-09
SR0000161,ACC006581,CON006581,PROD001592,ORD0028317,Refund,Open,2025-07-17
SR0000162,ACC000882,CON000882,PROD000813,ORD0047486,Technical Issue,In Progress,2026-05-11
SR0000163,ACC009626,CON009626,PROD001333,ORD0033644,Return,In Progress,2023-07-04
SR0000164,ACC002122,CON002122,PROD000465,ORD0005819,Refund,Closed,2023-07-19
SR0000165,ACC006233,CON006233,PROD000004,ORD0022595,Refund,In Progress,2026-05-12
SR0000166,ACC000432,CON000432,PROD001310,ORD0033035,Technical Issue,Closed,2025-02-24
SR0000167,ACC008785,CON008785,PROD000672,ORD0036594,Return,Open,2024-04-07
SR0000168,ACC002103,CON002103,PROD001062,ORD0005245,Return,Open,2023-08-23
SR0000169,ACC006796,CON006796,PROD000204,ORD0048733,Refund,Open,2026-01-04
SR0000170,ACC003183,CON003183,PROD001386,ORD0032767,Refund,Open,2023-06-22
SR0000171,ACC000313,CON000313,PROD000541,ORD0002759,Warranty,In Progress,2024-10-17
SR0000172,ACC009674,CON009674,PROD000376,ORD0043450,Return,Closed,2024-09-13
SR0000173,ACC009304,CON009304,PROD000608,ORD0008611,Technical Issue,Open,2026-01-28
SR0000174,ACC004087,CON004087,PROD001084,ORD0012005,Warranty,Closed,2026-05-11
SR0000175,ACC000109,CON000109,PROD001897,ORD0022259,Refund,Closed,2023-12-11
SR0000176,ACC005937,CON005937,PROD001875,ORD0008062,Warranty,Closed,2025-07-06
SR0000177,ACC009462,CON009462,PROD000100,ORD0031216,Technical Issue,Open,2023-12-27
SR0000178,ACC002406,CON002406,PROD001180,ORD0011940,Warranty,Open,2025-01-18
SR0000179,ACC005769,CON005769,PROD000824,ORD0039222,Return,In Progress,2023-12-14
SR0000180,ACC002927,CON002927,PROD001716,ORD0025766,Warranty,Closed,2025-04-26
SR0000181,ACC001133,CON001133,PROD001522,ORD0039072,Technical Issue,Closed,2026-01-16
SR0000182,ACC007894,CON007894,PROD000781,ORD0022890,Return,Open,2025-08-04
SR0000183,ACC002159,CON002159,PROD000759,ORD0045798,Warranty,Open,2023-11-12
SR0000184,ACC006573,CON006573,PROD001350,ORD0032357,Technical Issue,Open,2024-06-20
SR0000185,ACC009301,CON009301,PROD001454,ORD0041425,Technical Issue,Closed,2024-04-11
SR0000186,ACC008614,CON008614,PROD001993,ORD0023992,Technical Issue,Closed,2023-12-11
SR0000187,ACC004355,CON004355,PROD001252,ORD0037269,Warranty,In Progress,2026-01-02
SR0000188,ACC008755,CON008755,PROD001707,ORD0034986,Warranty,Open,2025-10-24
SR0000189,ACC009509,CON009509,PROD001242,ORD0039114,Return,Open,2026-04-18
SR0000190,ACC000027,CON000027,PROD000983,ORD0041805,Warranty,Open,2024-10-18
SR0000191,ACC007698,CON007698,PROD000715,ORD0025191,Return,Closed,2024-11-02
SR0000192,ACC009883,CON009883,PROD001053,ORD0039083,Refund,Open,2024-03-25
SR0000193,ACC006148,CON006148,PROD001087,ORD0007284,Refund,Open,2024-01-05
SR0000194,ACC002129,CON002129,PROD000771,ORD0035639,Technical Issue,In Progress,2025-06-07
SR0000195,ACC007944,CON007944,PROD001900,ORD0015009,Return,In Progress,2023-09-26
SR0000196,ACC006684,CON006684,PROD001079,ORD0049011,Technical Issue,Open,2023-07-27
SR0000197,ACC006578,CON006578,PROD001611,ORD0031123,Warranty,Closed,2026-03-16
SR0000198,ACC005576,CON005576,PROD000937,ORD0016614,Return,Closed,2025-07-14
SR0000199,ACC001423,CON001423,PROD000004,ORD0005366,Technical Issue,Closed,2024-02-06
SR0000200,ACC006673,CON006673,PROD001463,ORD0049269,Refund,In Progress,2025-04-30
SR0000201,ACC004064,CON004064,PROD000607,ORD0011402,Warranty,In Progress,2024-10-07
SR0000202,ACC002171,CON002171,PROD000349,ORD0000085,Refund,Open,2025-04-19
SR0000203,ACC005344,CON005344,PROD001523,ORD0028442,Refund,Open,2024-04-24
SR0000204,ACC001012,CON001012,PROD000765,ORD0016700,Technical Issue,Open,2023-11-30
SR0000205,ACC007095,CON007095,PROD001641,ORD0001287,Warranty,Closed,2025-12-25
SR0000206,ACC008406,CON008406,PROD001366,ORD0010016,Return,Open,2023-09-27
SR0000207,ACC000362,CON000362,PROD001658,ORD0030218,Refund,Open,2024-03-10
SR0000208,ACC007030,CON007030,PROD000190,ORD0032332,Warranty,Closed,2023-08-15
SR0000209,ACC003106,CON003106,PROD000869,ORD0007736,Warranty,In Progress,2025-08-29
SR0000210,ACC004183,CON004183,PROD000424,ORD0029562,Technical Issue,In Progress,2024-07-22
SR0000211,ACC007278,CON007278,PROD000086,ORD0009236,Technical Issue,Open,2024-11-06
SR0000212,ACC008150,CON008150,PROD000688,ORD0039787,Warranty,Closed,2024-08-19
SR0000213,ACC009333,CON009333,PROD000422,ORD0036273,Refund,Closed,2026-06-19
SR0000214,ACC001904,CON001904,PROD000265,ORD0025738,Technical Issue,In Progress,2023-12-27
SR0000215,ACC009890,CON009890,PROD001602,ORD0023699,Return,In Progress,2025-01-18
SR0000216,ACC003331,CON003331,PROD001306,ORD0042089,Technical Issue,Closed,2026-04-17
SR0000217,ACC001405,CON001405,PROD000359,ORD0029531,Return,Open,2026-05-02
SR0000218,ACC000884,CON000884,PROD000777,ORD0032428,Refund,Open,2024-01-26
SR0000219,ACC008681,CON008681,PROD001984,ORD0016221,Warranty,In Progress,2023-10-23
SR0000220,ACC007253,CON007253,PROD001245,ORD0007356,Return,Open,2024-06-30
SR0000221,ACC007874,CON007874,PROD001222,ORD0002817,Warranty,Closed,2026-01-25
SR0000222,ACC002045,CON002045,PROD000009,ORD0007331,Return,Open,2025-09-11
SR0000223,ACC002367,CON002367,PROD000340,ORD0036727,Refund,Closed,2023-07-05
SR0000224,ACC000321,CON000321,PROD000350,ORD0041630,Refund,In Progress,2025-05-31
SR0000225,ACC008491,CON008491,PROD001956,ORD0043918,Refund,Open,2025-01-25
SR0000226,ACC000987,CON000987,PROD001029,ORD0044740,Return,In Progress,2025-12-20
SR0000227,ACC002863,CON002863,PROD000707,ORD0029610,Return,In Progress,2024-09-20
SR0000228,ACC004640,CON004640,PROD001674,ORD0027240,Warranty,Closed,2025-12-05
SR0000229,ACC000629,CON000629,PROD001357,ORD0029599,Return,In Progress,2026-03-08
SR0000230,ACC000887,CON000887,PROD001468,ORD0001659,Return,Closed,2025-10-17
SR0000231,ACC009241,CON009241,PROD000555,ORD0011785,Warranty,In Progress,2025-02-20
SR0000232,ACC008465,CON008465,PROD001345,ORD0033795,Return,Closed,2024-07-03
SR0000233,ACC007334,CON007334,PROD000879,ORD0014021,Technical Issue,Open,2024-06-24
SR0000234,ACC004224,CON004224,PROD001189,ORD0044097,Return,Open,2025-01-07
SR0000235,ACC007068,CON007068,PROD001215,ORD0018995,Return,Closed,2023-07-08
SR0000236,ACC007361,CON007361,PROD001827,ORD0034842,Technical Issue,Closed,2025-07-22
SR0000237,ACC006567,CON006567,PROD001284,ORD0003319,Warranty,Open,2025-01-05
SR0000238,ACC009630,CON009630,PROD001088,ORD0029203,Technical Issue,In Progress,2023-11-09
SR0000239,ACC006351,CON006351,PROD001529,ORD0004444,Return,Open,2025-08-13
SR0000240,ACC009439,CON009439,PROD000018,ORD0021034,Return,Closed,2023-09-19
SR0000241,ACC000327,CON000327,PROD000948,ORD0009201,Warranty,Closed,2025-02-14
SR0000242,ACC000980,CON000980,PROD001774,ORD0016660,Technical Issue,Closed,2026-06-09
SR0000243,ACC006878,CON006878,PROD001093,ORD0006536,Return,Closed,2024-04-26
SR0000244,ACC005598,CON005598,PROD001871,ORD0037475,Refund,Open,2025-03-27
SR0000245,ACC001987,CON001987,PROD001336,ORD0030602,Return,Closed,2024-07-23
SR0000246,ACC000819,CON000819,PROD001445,ORD0030881,Return,Open,2026-05-22
SR0000247,ACC002711,CON002711,PROD001133,ORD0007761,Return,Closed,2025-08-01
SR0000248,ACC005821,CON005821,PROD000925,ORD0012329,Warranty,Open,2023-07-30
SR0000249,ACC007118,CON007118,PROD000046,ORD0030801,Technical Issue,Closed,2025-09-07
SR0000250,ACC006064,CON006064,PROD001364,ORD0033920,Technical Issue,Closed,2025-02-17
SR0000251,ACC002816,CON002816,PROD000214,ORD0027087,Return,In Progress,2024-11-27
SR0000252,ACC007205,CON007205,PROD001804,ORD0015660,Technical Issue,Open,2025-08-25
SR0000253,ACC006657,CON006657,PROD000610,ORD0045212,Return,In Progress,2023-07-18
SR0000254,ACC008608,CON008608,PROD000173,ORD0041217,Return,Closed,2023-12-06
SR0000255,ACC009838,CON009838,PROD001425,ORD0018696,Return,Open,2024-06-22
SR0000256,ACC006039,CON006039,PROD001201,ORD0034891,Refund,Closed,2026-05-11
SR0000257,ACC006746,CON006746,PROD000892,ORD0008742,Warranty,Closed,2024-05-13
SR0000258,ACC001272,CON001272,PROD000783,ORD0035248,Technical Issue,In Progress,2023-07-27
SR0000259,ACC002186,CON002186,PROD000621,ORD0044701,Return,In Progress,2024-11-15
SR0000260,ACC004852,CON004852,PROD000693,ORD0010298,Technical Issue,Open,2024-03-08
SR0000261,ACC006438,CON006438,PROD000361,ORD0030186,Return,Open,2026-04-11
SR0000262,ACC001001,CON001001,PROD001190,ORD0001699,Refund,Closed,2026-02-11
SR0000263,ACC007691,CON007691,PROD000488,ORD0025590,Return,Open,2026-01-23
SR0000264,ACC001639,CON001639,PROD001256,ORD0018949,Return,In Progress,2023-09-14
SR0000265,ACC009133,CON009133,PROD000388,ORD0021033,Return,In Progress,2024-11-17
SR0000266,ACC001660,CON001660,PROD001405,ORD0042609,Refund,In Progress,2025-10-22
SR0000267,ACC007128,CON007128,PROD000106,ORD0005640,Warranty,Open,2023-10-09
SR0000268,ACC001708,CON001708,PROD000528,ORD0024384,Technical Issue,Closed,2025-09-17
SR0000269,ACC003226,CON003226,PROD000089,ORD0047402,Return,In Progress,2024-05-20
SR0000270,ACC008970,CON008970,PROD000455,ORD0045752,Technical Issue,Open,2025-09-01
SR0000271,ACC001789,CON001789,PROD000776,ORD0003306,Refund,Open,2026-01-22
SR0000272,ACC007674,CON007674,PROD001018,ORD0026639,Return,Closed,2025-10-29
SR0000273,ACC009704,CON009704,PROD001385,ORD0018365,Warranty,Open,2024-06-25
SR0000274,ACC002788,CON002788,PROD000124,ORD0019921,Technical Issue,Open,2023-12-03
SR0000275,ACC004786,CON004786,PROD000640,ORD0028763,Return,Open,2024-02-19
SR0000276,ACC008784,CON008784,PROD001534,ORD0002455,Return,Closed,2023-12-14
SR0000277,ACC008161,CON008161,PROD001846,ORD0031798,Return,Closed,2024-03-18
SR0000278,ACC005474,CON005474,PROD001437,ORD0030201,Warranty,In Progress,2024-01-17
SR0000279,ACC001324,CON001324,PROD001917,ORD0011072,Technical Issue,Open,2025-10-15
SR0000280,ACC000473,CON000473,PROD001716,ORD0039756,Warranty,In Progress,2026-03-16
SR0000281,ACC001726,CON001726,PROD000785,ORD0012941,Return,In Progress,2024-09-19
SR0000282,ACC001016,CON001016,PROD000339,ORD0008582,Technical Issue,In Progress,2024-01-05
SR0000283,ACC003509,CON003509,PROD000821,ORD0048263,Technical Issue,In Progress,2025-08-31
SR0000284,ACC003534,CON003534,PROD000691,ORD0032287,Refund,In Progress,2024-09-21
SR0000285,ACC003523,CON003523,PROD001017,ORD0034133,Refund,In Progress,2025-01-17
SR0000286,ACC003520,CON003520,PROD001965,ORD0011932,Warranty,Closed,2023-12-28
SR0000287,ACC008249,CON008249,PROD001796,ORD0032417,Return,In Progress,2024-01-06
SR0000288,ACC007040,CON007040,PROD001073,ORD0025591,Technical Issue,Closed,2024-06-19
SR0000289,ACC005358,CON005358,PROD000106,ORD0045700,Return,Open,2024-10-28
SR0000290,ACC000061,CON000061,PROD000488,ORD0002783,Technical Issue,Closed,2024-03-30
SR0000291,ACC006386,CON006386,PROD000284,ORD0049581,Return,In Progress,2024-01-07
SR0000292,ACC003036,CON003036,PROD001893,ORD0011425,Refund,Closed,2024-10-09
SR0000293,ACC000524,CON000524,PROD000578,ORD0041772,Technical Issue,In Progress,2026-01-26
SR0000294,ACC003167,CON003167,PROD001175,ORD0005615,Technical Issue,In Progress,2024-07-09
SR0000295,ACC008130,CON008130,PROD000989,ORD0029183,Warranty,Closed,2024-08-26
SR0000296,ACC006661,CON006661,PROD001816,ORD0044098,Technical Issue,Open,2023-12-24
SR0000297,ACC002891,CON002891,PROD000858,ORD0021940,Refund,In Progress,2023-12-15
SR0000298,ACC005782,CON005782,PROD000621,ORD0019550,Technical Issue,Open,2025-08-13
SR0000299,ACC009286,CON009286,PROD001961,ORD0011622,Warranty,In Progress,2025-05-20
SR0000300,ACC005323,CON005323,PROD001164,ORD0017009,Return,Open,2025-07-10
SR0000301,ACC008428,CON008428,PROD000007,ORD0022689,Technical Issue,Open,2024-01-15
SR0000302,ACC006130,CON006130,PROD000081,ORD0021675,Refund,In Progress,2026-06-01
SR0000303,ACC003328,CON003328,PROD001572,ORD0005284,Refund,Open,2023-12-13
SR0000304,ACC001319,CON001319,PROD001246,ORD0035546,Return,Closed,2024-09-01
SR0000305,ACC005202,CON005202,PROD000010,ORD0009024,Warranty,Closed,2025-01-20
